MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,TIME
4,FAIL
5,EXC
6,EXC
7,EXC
8,EXC
9,FAIL
10,FAIL
11,EXC
12,FAIL
13,FAIL
14,FAIL
15,EXC
16,EXC
17,FAIL
18,EXC
19,FAIL
20,FAIL
21,EXC
22,EXC
23,FAIL
24,LIVE
25,EXC
26,EXC
27,EXC
28,LIVE
29,EXC
30,FAIL
31,FAIL
32,LIVE
33,LIVE
34,FAIL
35,LIVE
36,LIVE
37,EXC
38,FAIL
39,FAIL
40,EXC
41,EXC
42,EXC
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,EXC
48,EXC
49,FAIL
50,FAIL
51,LIVE
52,EXC
53,EXC
54,EXC
55,EXC
56,EXC
57,EXC
58,LIVE
59,FAIL
60,LIVE
61,LIVE
62,FAIL
63,UNCOV
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,LIVE
69,LIVE
70,FAIL
71,LIVE
72,LIVE
73,FAIL
