1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):76:2678:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
2:AOR:-(int,int):*(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):76:2678:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) * astPosition.get(b.getValue())
3:AOR:-(int,int):+(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):76:2678:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) + astPosition.get(b.getValue())
4:AOR:-(int,int):/(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):76:2678:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) / astPosition.get(b.getValue())
5:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):147:4574:this.root = root; |==> <NO-OP>
6:LVR:0:POS:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):148:4617:0 |==> 1
7:LVR:0:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):148:4617:0 |==> -1
8:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):148:4596:astPositionCounter = 0; |==> <NO-OP>
9:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):149:4624:astPosition = Maps.newHashMap(); |==> <NO-OP>
10:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):150:4661:nodePriorities = Maps.newHashMap(); |==> <NO-OP>
11:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:4701:cfg = new AstControlFlowGraph(computeFallThrough(root), nodePriorities); |==> <NO-OP>
12:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):152:4778:NodeTraversal.traverse(compiler, root, this); |==> <NO-OP>
13:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):153:4828:astPosition.put(null, ++astPositionCounter); |==> <NO-OP>
14:LVR:0:POS:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):157:5020:0 |==> 1
15:LVR:0:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):157:5020:0 |==> -1
16:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):157:5002:priorityCounter = 0; |==> <NO-OP>
17:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):159:5081:prioritizeFromEntryNode(entry); |==> <NO-OP>
18:COR:<IDENTIFIER(boolean)>:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:5122:shouldTraverseFunctions |==> false
19:COR:<IDENTIFIER(boolean)>:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:5122:shouldTraverseFunctions |==> true
20:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5387:value != null |==> true
21:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5398:value.getType() == Token.FUNCTION |==> value.getType() <= Token.FUNCTION
22:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5398:value.getType() == Token.FUNCTION |==> value.getType() >= Token.FUNCTION
23:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5414:value.getType() == Token.FUNCTION |==> false
24:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5381:value != null && value.getType() == Token.FUNCTION |==> value != null == (value.getType() == Token.FUNCTION)
25:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5395:value != null && value.getType() == Token.FUNCTION |==> false
26:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5381:value != null && value.getType() == Token.FUNCTION |==> value != null
27:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):166:5398:value != null && value.getType() == Token.FUNCTION |==> value.getType() == Token.FUNCTION
28:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):168:5537:candidate == entry |==> false
29:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):168:5485:!nodePriorities.containsKey(candidate) || candidate == entry |==> !nodePriorities.containsKey(candidate) != (candidate == entry)
30:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):168:5485:!nodePriorities.containsKey(candidate) || candidate == entry |==> !nodePriorities.containsKey(candidate)
31:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):168:5527:!nodePriorities.containsKey(candidate) || candidate == entry |==> candidate == entry
32:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):168:5524:!nodePriorities.containsKey(candidate) || candidate == entry |==> true
33:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):167:5445:Preconditions.checkState(!nodePriorities.containsKey(candidate) || candidate == entry); |==> <NO-OP>
34:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):169:5558:prioritizeFromEntryNode(candidate); |==> <NO-OP>
35:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):179:5997:nodePriorities.containsKey(candidate) |==> false
36:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):179:5997:nodePriorities.containsKey(candidate) |==> true
37:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):180:6020:nodePriorities.put(candidate, ++priorityCounter); |==> <NO-OP>
38:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):185:6144:nodePriorities.put(cfg.getImplicitReturn(), ++priorityCounter); |==> <NO-OP>
39:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):194:6504:10 |==> 0
40:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):194:6504:10 |==> -10
41:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):195:6533:worklist.add(entry); |==> <NO-OP>
42:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):199:6686:nodePriorities.containsKey(current) |==> false
43:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):199:6686:nodePriorities.containsKey(current) |==> true
44:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):203:6732:nodePriorities.put(current, ++priorityCounter); |==> <NO-OP>
