1:LVR:FALSE:TRUE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):58:1981:false |==> true
2:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):64:2155:1 |==> 0
3:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):64:2155:1 |==> -1
4:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):65:2179:c == 'f' |==> c <= 'f'
5:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):65:2179:c == 'f' |==> c >= 'f'
6:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):65:2180:c == 'f' |==> false
7:LVR:0:POS:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2220:0 |==> 1
8:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2220:0 |==> -1
9:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2211:s.charAt(0) == 'i' |==> s.charAt(0) <= 'i'
10:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2211:s.charAt(0) == 'i' |==> s.charAt(0) >= 'i'
11:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2222:s.charAt(0) == 'i' |==> false
12:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2233:true |==> false
13:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):66:2230:id = true; |==> <NO-OP>
14:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):67:2283:c == 'n' |==> c <= 'n'
15:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):67:2283:c == 'n' |==> c >= 'n'
16:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):67:2284:c == 'n' |==> false
17:LVR:0:POS:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2324:0 |==> 1
