MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,EXC
3,FAIL
4,TIME
5,TIME
6,TIME
7,TIME
8,FAIL
9,TIME
10,TIME
11,TIME
12,TIME
13,FAIL
14,FAIL
15,EXC
16,FAIL
17,FAIL
18,FAIL
19,TIME
20,TIME
21,FAIL
22,EXC
23,TIME
24,FAIL
25,FAIL
26,TIME
27,TIME
28,FAIL
29,EXC
30,TIME
31,TIME
32,TIME
33,FAIL
34,TIME
35,EXC
36,TIME
37,FAIL
38,FAIL
39,EXC
40,FAIL
41,EXC
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,TIME
47,TIME
48,UNCOV
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,TIME
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,TIME
63,FAIL
64,TIME
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,EXC
77,EXC
78,LIVE
79,FAIL
80,EXC
81,FAIL
82,EXC
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,TIME
88,EXC
89,EXC
90,EXC
91,EXC
92,FAIL
93,FAIL
94,TIME
95,EXC
96,TIME
97,UNCOV
98,TIME
99,FAIL
100,TIME
101,EXC
102,LIVE
103,LIVE
104,LIVE
105,LIVE
106,LIVE
107,LIVE
108,EXC
109,LIVE
110,FAIL
111,LIVE
112,LIVE
113,LIVE
114,LIVE
115,UNCOV
116,LIVE
117,TIME
118,LIVE
119,LIVE
120,LIVE
121,TIME
122,LIVE
123,LIVE
124,TIME
125,UNCOV
126,FAIL
127,EXC
128,EXC
129,EXC
130,EXC
131,TIME
132,EXC
133,TIME
134,EXC
135,EXC
136,EXC
137,EXC
138,FAIL
139,TIME
140,FAIL
141,TIME
142,FAIL
143,TIME
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,TIME
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,EXC
162,TIME
163,TIME
164,TIME
165,TIME
166,FAIL
167,FAIL
168,TIME
169,FAIL
170,EXC
171,EXC
172,TIME
173,EXC
174,UNCOV
175,UNCOV
176,UNCOV
177,TIME
