1:LVR:0:POS:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):56:2364:0 |==> 1
2:LVR:0:NEG:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):56:2364:0 |==> -1
3:LVR:POS:0:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):57:2388:1 |==> 0
4:LVR:POS:NEG:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):57:2388:1 |==> -1
5:ROR:<(int,int):!=(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):57:2391:i < in.size() |==> i != in.size()
6:ROR:<(int,int):<=(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):57:2391:i < in.size() |==> i <= in.size()
7:ROR:<(int,int):FALSE(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):57:2393:i < in.size() |==> false
8:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):58:2421:result.liveSet.or(in.get(i).liveSet); |==> <NO-OP>
9:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@<init>(com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):80:3051:Preconditions.checkNotNull(other); |==> <NO-OP>
10:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@equals(java.lang.Object):86:3208:Preconditions.checkNotNull(other); |==> <NO-OP>
11:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@equals(java.lang.Object):87:3256:(other instanceof LiveVariableLattice) && this.liveSet.equals(((LiveVariableLattice)other).liveSet) |==> (other instanceof LiveVariableLattice) == this.liveSet.equals(((LiveVariableLattice)other).liveSet)
12:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@equals(java.lang.Object):87:3295:(other instanceof LiveVariableLattice) && this.liveSet.equals(((LiveVariableLattice)other).liveSet) |==> false
13:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@equals(java.lang.Object):87:3256:(other instanceof LiveVariableLattice) && this.liveSet.equals(((LiveVariableLattice)other).liveSet) |==> (other instanceof LiveVariableLattice)
14:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@equals(java.lang.Object):88:3308:(other instanceof LiveVariableLattice) && this.liveSet.equals(((LiveVariableLattice)other).liveSet) |==> this.liveSet.equals(((LiveVariableLattice)other).liveSet)
15:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice@isLive(com.google.javascript.jscomp.Scope.Var):92:3416:Preconditions.checkNotNull(v); |==> <NO-OP>
16:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@<init>(com.google.javascript.jscomp.ControlFlowGraph<com.google.javascript.rhino.Node>,com.google.javascript.jscomp.Scope,com.google.javascript.jscomp.AbstractCompiler):120:4073:computeEscaped(jsScope, escaped, compiler); |==> <NO-OP>
17:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@isForward():133:4315:false |==> true
18:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):152:4883:false |==> true
19:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):155:5048:Branch.ON_EX.equals(edge.getValue()) |==> false
20:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):155:5048:Branch.ON_EX.equals(edge.getValue()) |==> true
21:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):156:5091:true |==> false
22:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):156:5077:conditional = true; |==> <NO-OP>
23:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):159:5115:computeGenKill(node, gen, kill, conditional); |==> <NO-OP>
