MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,EXC
3,LIVE
4,EXC
5,FAIL
6,LIVE
7,EXC
8,FAIL
9,LIVE
10,LIVE
11,FAIL
12,LIVE
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,LIVE
20,FAIL
21,FAIL
22,LIVE
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,EXC
30,FAIL
31,FAIL
32,FAIL
33,EXC
34,EXC
35,EXC
36,EXC
37,EXC
38,EXC
39,LIVE
40,EXC
41,LIVE
42,EXC
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,EXC
54,FAIL
55,EXC
56,EXC
57,LIVE
58,EXC
59,EXC
60,EXC
61,EXC
62,EXC
63,LIVE
64,EXC
65,EXC
66,EXC
67,LIVE
68,EXC
69,LIVE
70,LIVE
71,EXC
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,LIVE
77,UNCOV
78,FAIL
79,FAIL
80,EXC
81,LIVE
82,EXC
83,LIVE
84,LIVE
85,EXC
86,EXC
87,LIVE
88,EXC
89,EXC
90,LIVE
91,EXC
92,LIVE
93,LIVE
94,EXC
95,LIVE
96,LIVE
97,EXC
98,EXC
99,LIVE
100,EXC
101,LIVE
102,EXC
103,EXC
104,EXC
105,LIVE
106,LIVE
107,EXC
108,EXC
109,EXC
110,EXC
111,EXC
112,EXC
113,EXC
114,FAIL
115,LIVE
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,LIVE
123,LIVE
124,EXC
125,FAIL
126,FAIL
127,EXC
128,FAIL
129,FAIL
130,EXC
131,FAIL
132,EXC
133,EXC
134,EXC
135,EXC
136,EXC
137,EXC
138,EXC
139,EXC
140,EXC
141,EXC
142,EXC
143,EXC
144,EXC
145,FAIL
146,EXC
147,EXC
148,EXC
149,LIVE
150,EXC
151,LIVE
152,EXC
153,EXC
154,LIVE
155,LIVE
156,EXC
157,EXC
158,EXC
159,FAIL
160,EXC
161,FAIL
162,EXC
163,LIVE
164,EXC
165,UNCOV
166,UNCOV
167,UNCOV
168,UNCOV
169,UNCOV
170,UNCOV
171,UNCOV
172,FAIL
173,EXC
174,FAIL
175,EXC
176,EXC
177,EXC
178,FAIL
179,FAIL
180,FAIL
181,EXC
182,FAIL
183,EXC
