MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,LIVE
3,FAIL
4,FAIL
5,FAIL
6,LIVE
7,EXC
8,LIVE
9,FAIL
10,LIVE
11,EXC
12,EXC
13,EXC
14,EXC
15,EXC
16,FAIL
17,TIME
18,LIVE
19,FAIL
20,FAIL
21,FAIL
22,LIVE
23,FAIL
24,LIVE
25,EXC
26,FAIL
27,FAIL
28,LIVE
29,EXC
30,FAIL
31,FAIL
32,FAIL
33,LIVE
34,FAIL
35,FAIL
36,EXC
37,FAIL
38,FAIL
39,FAIL
40,LIVE
41,FAIL
42,FAIL
43,LIVE
44,FAIL
45,FAIL
46,EXC
47,FAIL
48,LIVE
49,LIVE
50,TIME
51,FAIL
52,FAIL
53,LIVE
54,LIVE
55,FAIL
56,FAIL
57,FAIL
58,FAIL
59,FAIL
60,LIVE
