MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,EXC
3,LIVE
4,LIVE
5,LIVE
6,LIVE
7,EXC
8,LIVE
9,LIVE
10,UNCOV
11,LIVE
12,LIVE
13,LIVE
14,LIVE
15,LIVE
16,FAIL
17,LIVE
18,FAIL
19,LIVE
20,LIVE
21,LIVE
22,LIVE
23,UNCOV
24,UNCOV
25,UNCOV
26,UNCOV
27,UNCOV
28,LIVE
29,FAIL
30,LIVE
31,FAIL
32,LIVE
33,EXC
34,EXC
35,LIVE
36,FAIL
37,EXC
38,LIVE
39,EXC
40,EXC
41,LIVE
42,EXC
43,LIVE
44,LIVE
45,UNCOV
46,UNCOV
47,UNCOV
48,UNCOV
49,UNCOV
50,UNCOV
51,UNCOV
52,UNCOV
53,UNCOV
54,UNCOV
55,UNCOV
56,UNCOV
57,UNCOV
58,UNCOV
59,UNCOV
60,UNCOV
61,UNCOV
62,UNCOV
63,UNCOV
64,UNCOV
65,UNCOV
66,UNCOV
67,UNCOV
68,UNCOV
69,UNCOV
70,UNCOV
71,UNCOV
72,UNCOV
73,UNCOV
74,UNCOV
75,UNCOV
76,UNCOV
77,UNCOV
78,UNCOV
79,UNCOV
80,UNCOV
81,LIVE
82,EXC
83,FAIL
84,EXC
85,EXC
86,FAIL
87,FAIL
88,LIVE
89,EXC
90,EXC
91,EXC
92,EXC
93,EXC
94,FAIL
95,FAIL
96,EXC
97,FAIL
98,EXC
99,LIVE
100,LIVE
101,LIVE
102,UNCOV
103,UNCOV
104,UNCOV
105,LIVE
106,LIVE
107,LIVE
108,FAIL
109,FAIL
110,LIVE
111,LIVE
112,LIVE
113,EXC
114,LIVE
115,EXC
116,EXC
117,EXC
118,LIVE
119,FAIL
120,LIVE
121,EXC
122,EXC
123,LIVE
124,LIVE
125,UNCOV
126,LIVE
127,LIVE
128,EXC
129,EXC
130,LIVE
131,UNCOV
132,UNCOV
133,UNCOV
134,LIVE
135,UNCOV
136,LIVE
137,FAIL
138,LIVE
139,LIVE
140,LIVE
141,FAIL
142,UNCOV
143,EXC
144,FAIL
145,UNCOV
146,UNCOV
147,UNCOV
148,UNCOV
149,FAIL
