MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,UNCOV
7,LIVE
8,UNCOV
9,EXC
10,EXC
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,EXC
17,FAIL
18,LIVE
19,EXC
20,UNCOV
21,LIVE
22,LIVE
23,EXC
24,LIVE
25,LIVE
26,FAIL
27,FAIL
28,UNCOV
29,UNCOV
30,UNCOV
31,UNCOV
32,UNCOV
33,UNCOV
34,UNCOV
35,UNCOV
36,UNCOV
37,UNCOV
38,UNCOV
39,UNCOV
40,UNCOV
41,UNCOV
42,UNCOV
43,UNCOV
44,UNCOV
45,UNCOV
46,UNCOV
47,UNCOV
48,UNCOV
49,UNCOV
50,UNCOV
51,UNCOV
52,UNCOV
53,UNCOV
54,UNCOV
55,UNCOV
56,UNCOV
57,UNCOV
58,UNCOV
59,UNCOV
60,UNCOV
61,UNCOV
62,UNCOV
63,UNCOV
64,UNCOV
65,UNCOV
66,UNCOV
67,UNCOV
68,UNCOV
69,UNCOV
70,UNCOV
71,UNCOV
72,UNCOV
73,UNCOV
74,UNCOV
75,UNCOV
76,UNCOV
77,UNCOV
78,UNCOV
79,UNCOV
80,UNCOV
81,UNCOV
82,UNCOV
83,UNCOV
84,FAIL
85,EXC
86,EXC
87,EXC
88,EXC
89,EXC
90,EXC
91,UNCOV
92,UNCOV
93,UNCOV
94,UNCOV
95,FAIL
96,LIVE
97,LIVE
98,LIVE
99,FAIL
100,UNCOV
101,UNCOV
102,UNCOV
103,UNCOV
104,FAIL
105,LIVE
106,LIVE
107,FAIL
108,LIVE
109,LIVE
110,FAIL
111,FAIL
112,LIVE
113,LIVE
114,FAIL
115,FAIL
116,LIVE
117,LIVE
118,FAIL
119,FAIL
120,LIVE
121,LIVE
122,FAIL
123,FAIL
124,LIVE
125,LIVE
126,FAIL
127,FAIL
128,LIVE
129,LIVE
130,FAIL
131,FAIL
132,LIVE
133,LIVE
134,LIVE
135,LIVE
136,FAIL
137,FAIL
138,LIVE
139,FAIL
140,LIVE
141,UNCOV
142,UNCOV
143,LIVE
144,LIVE
145,FAIL
146,UNCOV
147,UNCOV
148,LIVE
149,EXC
150,FAIL
151,FAIL
152,LIVE
153,FAIL
154,LIVE
155,LIVE
156,FAIL
157,LIVE
158,LIVE
159,LIVE
160,FAIL
161,LIVE
162,FAIL
163,LIVE
164,LIVE
165,LIVE
166,LIVE
167,FAIL
168,LIVE
169,FAIL
170,FAIL
171,LIVE
172,FAIL
173,LIVE
174,FAIL
175,FAIL
176,FAIL
177,TIME
178,LIVE
179,LIVE
180,EXC
181,EXC
182,LIVE
183,EXC
184,EXC
185,EXC
186,EXC
187,LIVE
188,LIVE
189,LIVE
190,FAIL
191,UNCOV
192,UNCOV
193,FAIL
194,LIVE
195,FAIL
196,FAIL
197,LIVE
198,UNCOV
199,FAIL
200,LIVE
201,EXC
202,FAIL
203,LIVE
204,FAIL
205,LIVE
206,UNCOV
207,UNCOV
208,UNCOV
209,UNCOV
210,UNCOV
211,UNCOV
212,UNCOV
213,UNCOV
214,TIME
215,FAIL
216,FAIL
217,UNCOV
218,UNCOV
219,UNCOV
220,UNCOV
221,UNCOV
222,UNCOV
223,UNCOV
224,UNCOV
225,UNCOV
226,UNCOV
227,UNCOV
228,UNCOV
229,UNCOV
230,UNCOV
231,UNCOV
232,UNCOV
233,UNCOV
234,UNCOV
235,UNCOV
236,UNCOV
237,UNCOV
238,UNCOV
239,UNCOV
240,UNCOV
241,UNCOV
242,UNCOV
243,UNCOV
244,UNCOV
245,UNCOV
246,UNCOV
247,UNCOV
248,UNCOV
249,UNCOV
250,UNCOV
251,UNCOV
252,UNCOV
253,UNCOV
254,UNCOV
255,UNCOV
256,UNCOV
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,FAIL
262,FAIL
263,FAIL
264,LIVE
265,UNCOV
266,UNCOV
267,UNCOV
268,UNCOV
269,UNCOV
270,UNCOV
271,UNCOV
272,UNCOV
273,UNCOV
274,UNCOV
275,UNCOV
276,UNCOV
277,UNCOV
