MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,FAIL
3,EXC
4,LIVE
5,EXC
6,LIVE
7,EXC
8,FAIL
9,EXC
10,EXC
11,FAIL
12,FAIL
13,FAIL
14,LIVE
15,TIME
16,FAIL
17,FAIL
18,FAIL
19,LIVE
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,EXC
26,EXC
27,EXC
28,FAIL
29,EXC
30,FAIL
31,EXC
32,LIVE
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,EXC
42,LIVE
43,EXC
44,EXC
45,LIVE
46,UNCOV
47,UNCOV
48,UNCOV
49,EXC
50,LIVE
51,FAIL
52,EXC
53,LIVE
54,FAIL
55,EXC
56,EXC
57,EXC
58,FAIL
59,FAIL
60,EXC
61,FAIL
62,EXC
63,FAIL
64,EXC
65,LIVE
66,EXC
67,FAIL
68,FAIL
69,EXC
70,FAIL
71,EXC
72,LIVE
73,EXC
74,FAIL
75,FAIL
76,FAIL
77,EXC
78,EXC
79,EXC
80,UNCOV
81,UNCOV
82,FAIL
83,UNCOV
84,UNCOV
85,FAIL
86,LIVE
87,FAIL
88,EXC
89,LIVE
90,EXC
91,EXC
92,LIVE
93,LIVE
94,EXC
95,EXC
96,EXC
97,FAIL
98,FAIL
99,EXC
100,TIME
101,EXC
102,EXC
103,EXC
104,LIVE
105,FAIL
106,EXC
107,LIVE
108,FAIL
109,EXC
110,LIVE
111,EXC
112,FAIL
113,EXC
114,LIVE
115,EXC
116,FAIL
117,EXC
118,LIVE
119,LIVE
120,EXC
121,EXC
122,FAIL
123,EXC
124,LIVE
125,LIVE
126,EXC
127,EXC
128,FAIL
129,EXC
130,LIVE
131,EXC
132,FAIL
133,EXC
134,LIVE
135,EXC
136,FAIL
137,EXC
138,EXC
139,EXC
140,FAIL
141,EXC
142,LIVE
143,EXC
144,LIVE
145,LIVE
146,LIVE
147,LIVE
148,LIVE
149,LIVE
150,LIVE
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,EXC
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,LIVE
174,FAIL
175,EXC
176,EXC
177,FAIL
178,EXC
179,EXC
180,EXC
181,EXC
182,EXC
183,EXC
184,EXC
185,EXC
186,EXC
187,EXC
188,EXC
189,EXC
190,EXC
191,LIVE
192,EXC
193,LIVE
194,EXC
195,LIVE
196,EXC
197,EXC
198,EXC
199,EXC
200,FAIL
201,EXC
202,FAIL
203,EXC
204,EXC
205,FAIL
206,EXC
207,LIVE
208,FAIL
209,EXC
210,EXC
211,FAIL
212,TIME
213,EXC
214,TIME
215,EXC
216,EXC
217,TIME
218,EXC
219,EXC
220,EXC
221,EXC
222,EXC
223,FAIL
224,FAIL
225,EXC
226,EXC
227,FAIL
228,FAIL
229,FAIL
230,FAIL
231,FAIL
232,FAIL
233,FAIL
234,EXC
235,EXC
236,EXC
237,FAIL
238,FAIL
239,EXC
240,LIVE
241,EXC
242,EXC
243,EXC
244,FAIL
245,EXC
246,FAIL
247,UNCOV
248,FAIL
249,EXC
250,LIVE
251,UNCOV
252,LIVE
253,EXC
254,EXC
255,LIVE
256,EXC
257,EXC
258,EXC
259,EXC
260,EXC
261,EXC
262,FAIL
263,EXC
264,EXC
265,EXC
266,FAIL
267,LIVE
268,FAIL
269,EXC
270,EXC
271,EXC
272,FAIL
273,LIVE
274,FAIL
275,EXC
276,EXC
277,FAIL
278,EXC
279,FAIL
280,EXC
281,LIVE
282,EXC
283,EXC
284,EXC
