1:LVR:NEG:0:com.fasterxml.jackson.databind.JsonMappingException$Reference:66:2294:-1 |==> 0
2:LVR:NEG:POS:com.fasterxml.jackson.databind.JsonMappingException$Reference:66:2294:-1 |==> 1
3:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@<init>(java.lang.Object):83:2828:_from = from; |==> <NO-OP>
4:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@<init>(java.lang.Object,java.lang.String):86:2915:_from = from; |==> <NO-OP>
5:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.JsonMappingException$Reference@<init>(java.lang.Object,java.lang.String):87:2955:fieldName == null |==> false
6:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@<init>(java.lang.Object,java.lang.String):90:3071:_fieldName = fieldName; |==> <NO-OP>
7:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@<init>(java.lang.Object,int):94:3169:_from = from; |==> <NO-OP>
8:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@<init>(java.lang.Object,int):95:3195:_index = index; |==> <NO-OP>
9:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@setFieldName(java.lang.String):99:3351:_fieldName = n; |==> <NO-OP>
10:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@setIndex(int):100:3401:_index = ix; |==> <NO-OP>
11:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@setDescription(java.lang.String):101:3456:_desc = d; |==> <NO-OP>
12:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():119:4255:_desc == null |==> false
13:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():122:4349:_from == null |==> false
14:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():123:4404:sb.append("UNKNOWN"); |==> <NO-OP>
15:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():131:5000:pkgName != null |==> true
16:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():132:5035:sb.append(pkgName); |==> <NO-OP>
17:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():133:5079:sb.append('.'); |==> <NO-OP>
18:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():135:5137:sb.append(cls.getSimpleName()); |==> <NO-OP>
19:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.JsonMappingException$Reference@getDescription():137:5203:sb.append('['); |==> <NO-OP>
