1:LVR:0:POS:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@<init>(java.lang.Class<?>,com.fasterxml.jackson.databind.type.TypeBindings):17:451:0 |==> 1
2:LVR:0:NEG:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@<init>(java.lang.Class<?>,com.fasterxml.jackson.databind.type.TypeBindings):17:451:0 |==> -1
3:LVR:FALSE:TRUE:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@<init>(java.lang.Class<?>,com.fasterxml.jackson.databind.type.TypeBindings):17:466:false |==> true
4:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@setReference(com.fasterxml.jackson.databind.JavaType):23:619:_referencedType != null |==> true
5:STD:<ASSIGN>:<NO-OP>:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@setReference(com.fasterxml.jackson.databind.JavaType):26:773:_referencedType = ref; |==> <NO-OP>
6:LVR:FALSE:TRUE:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@isContainerType():86:2091:false |==> true
7:LVR:POS:0:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@toString():91:2195:40 |==> 0
8:LVR:POS:NEG:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@toString():91:2195:40 |==> -40
9:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@toString():93:2273:_referencedType == null |==> false
10:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@toString():94:2296:sb.append("UNRESOLVED"); |==> <NO-OP>
11:STD:<CALL>:<NO-OP>:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@toString():98:2476:sb.append(_referencedType.getRawClass().getName()); |==> <NO-OP>
12:LVR:TRUE:FALSE:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):105:2657:true |==> false
13:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):106:2677:o == null |==> false
14:LVR:FALSE:TRUE:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):106:2693:false |==> true
15:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):108:2779:_referencedType == null |==> false
16:LVR:FALSE:TRUE:com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):109:2809:false |==> true
17:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):111:2855:o.getClass() == getClass() |==> false
18:COR:&&(boolean,boolean):==(boolean,boolean):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):111:2842:o.getClass() == getClass() && _referencedType.equals(((ResolvedRecursiveType)o).getSelfReferencedType()) |==> o.getClass() == getClass() == _referencedType.equals(((ResolvedRecursiveType)o).getSelfReferencedType())
19:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):112:2885:o.getClass() == getClass() && _referencedType.equals(((ResolvedRecursiveType)o).getSelfReferencedType()) |==> false
20:COR:&&(boolean,boolean):LHS(boolean,boolean):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):111:2842:o.getClass() == getClass() && _referencedType.equals(((ResolvedRecursiveType)o).getSelfReferencedType()) |==> o.getClass() == getClass()
21:COR:&&(boolean,boolean):RHS(boolean,boolean):com.fasterxml.jackson.databind.type.ResolvedRecursiveType@equals(java.lang.Object):112:2888:o.getClass() == getClass() && _referencedType.equals(((ResolvedRecursiveType)o).getSelfReferencedType()) |==> _referencedType.equals(((ResolvedRecursiveType)o).getSelfReferencedType())
