MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,LIVE
3,LIVE
4,FAIL
5,LIVE
6,LIVE
7,FAIL
8,LIVE
9,FAIL
10,LIVE
11,LIVE
12,FAIL
13,FAIL
14,LIVE
15,LIVE
16,FAIL
17,FAIL
18,FAIL
19,LIVE
20,LIVE
21,EXC
22,EXC
23,EXC
24,FAIL
25,UNCOV
26,UNCOV
27,UNCOV
28,UNCOV
29,UNCOV
30,UNCOV
31,UNCOV
32,UNCOV
33,UNCOV
34,UNCOV
35,UNCOV
36,UNCOV
37,UNCOV
38,UNCOV
39,UNCOV
40,UNCOV
41,UNCOV
42,UNCOV
43,UNCOV
44,UNCOV
45,UNCOV
46,UNCOV
47,UNCOV
48,UNCOV
49,EXC
50,LIVE
51,LIVE
52,UNCOV
53,UNCOV
54,UNCOV
55,UNCOV
56,UNCOV
