MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,UNCOV
3,EXC
4,LIVE
5,EXC
6,EXC
7,EXC
8,EXC
9,FAIL
10,EXC
11,LIVE
12,EXC
13,UNCOV
14,UNCOV
15,LIVE
16,EXC
17,LIVE
18,UNCOV
19,UNCOV
20,UNCOV
21,UNCOV
22,UNCOV
23,UNCOV
24,UNCOV
25,UNCOV
26,UNCOV
27,UNCOV
28,UNCOV
29,UNCOV
30,UNCOV
31,UNCOV
32,UNCOV
33,UNCOV
34,UNCOV
35,LIVE
36,UNCOV
37,LIVE
38,UNCOV
39,EXC
40,EXC
41,EXC
42,LIVE
43,EXC
44,UNCOV
45,LIVE
46,UNCOV
47,UNCOV
48,EXC
49,UNCOV
50,UNCOV
51,LIVE
52,EXC
53,UNCOV
54,UNCOV
55,UNCOV
56,EXC
57,EXC
58,LIVE
59,EXC
60,LIVE
61,FAIL
62,UNCOV
63,FAIL
64,LIVE
65,LIVE
66,LIVE
67,LIVE
68,FAIL
69,LIVE
70,FAIL
71,LIVE
72,LIVE
73,FAIL
74,UNCOV
75,EXC
76,EXC
77,EXC
78,LIVE
79,EXC
80,LIVE
