MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,EXC
3,FAIL
4,LIVE
5,EXC
6,EXC
7,FAIL
8,LIVE
9,FAIL
10,EXC
11,EXC
12,EXC
13,LIVE
14,LIVE
15,EXC
16,LIVE
17,LIVE
18,LIVE
19,LIVE
20,LIVE
21,LIVE
22,EXC
23,LIVE
24,LIVE
25,FAIL
26,EXC
27,LIVE
28,EXC
29,EXC
30,FAIL
31,LIVE
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,LIVE
37,LIVE
38,FAIL
39,LIVE
40,FAIL
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,FAIL
46,LIVE
47,FAIL
48,LIVE
49,LIVE
50,FAIL
51,EXC
52,FAIL
53,EXC
54,FAIL
55,LIVE
56,FAIL
57,LIVE
58,EXC
59,EXC
60,FAIL
61,LIVE
62,EXC
63,LIVE
64,FAIL
65,FAIL
66,LIVE
67,EXC
68,EXC
69,LIVE
70,EXC
71,EXC
72,EXC
73,EXC
74,EXC
75,FAIL
76,LIVE
77,EXC
78,FAIL
79,EXC
80,FAIL
81,EXC
82,FAIL
83,LIVE
84,EXC
85,LIVE
86,EXC
87,EXC
88,LIVE
89,LIVE
90,UNCOV
91,UNCOV
92,UNCOV
93,UNCOV
94,UNCOV
95,UNCOV
96,UNCOV
97,UNCOV
98,LIVE
99,FAIL
100,EXC
101,LIVE
102,EXC
103,LIVE
104,EXC
105,LIVE
106,LIVE
107,FAIL
108,LIVE
109,EXC
110,LIVE
111,EXC
112,FAIL
113,LIVE
114,LIVE
115,LIVE
116,UNCOV
117,UNCOV
118,UNCOV
119,LIVE
120,LIVE
121,LIVE
122,LIVE
123,LIVE
124,LIVE
125,EXC
126,EXC
127,FAIL
128,LIVE
129,LIVE
130,FAIL
131,FAIL
132,LIVE
133,EXC
134,LIVE
135,LIVE
136,LIVE
137,LIVE
138,LIVE
139,UNCOV
140,UNCOV
141,UNCOV
142,UNCOV
143,UNCOV
144,UNCOV
145,UNCOV
146,LIVE
147,LIVE
148,LIVE
149,LIVE
150,UNCOV
151,UNCOV
152,UNCOV
153,UNCOV
154,UNCOV
155,UNCOV
156,UNCOV
157,LIVE
158,LIVE
159,LIVE
160,LIVE
161,UNCOV
162,UNCOV
163,UNCOV
164,UNCOV
165,UNCOV
166,UNCOV
167,UNCOV
168,FAIL
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,EXC
174,UNCOV
175,UNCOV
176,LIVE
177,LIVE
178,LIVE
179,LIVE
180,EXC
181,UNCOV
182,UNCOV
183,LIVE
184,LIVE
185,LIVE
186,LIVE
187,LIVE
188,LIVE
189,LIVE
190,UNCOV
191,UNCOV
192,UNCOV
193,UNCOV
194,UNCOV
195,UNCOV
196,UNCOV
197,LIVE
198,LIVE
199,LIVE
200,LIVE
201,UNCOV
202,UNCOV
203,UNCOV
204,UNCOV
205,UNCOV
206,UNCOV
207,UNCOV
208,FAIL
209,LIVE
210,LIVE
211,LIVE
212,LIVE
213,LIVE
214,LIVE
215,FAIL
216,UNCOV
217,LIVE
218,EXC
219,UNCOV
220,UNCOV
221,LIVE
222,LIVE
223,LIVE
224,UNCOV
225,UNCOV
226,UNCOV
227,UNCOV
228,UNCOV
229,UNCOV
230,UNCOV
231,FAIL
232,LIVE
233,LIVE
234,LIVE
235,LIVE
236,EXC
237,UNCOV
238,UNCOV
239,LIVE
240,LIVE
241,LIVE
242,LIVE
243,EXC
244,UNCOV
245,UNCOV
246,FAIL
247,LIVE
248,LIVE
249,FAIL
250,LIVE
251,FAIL
252,LIVE
253,LIVE
254,LIVE
255,LIVE
256,FAIL
257,UNCOV
258,FAIL
259,EXC
260,UNCOV
261,UNCOV
262,LIVE
263,LIVE
264,FAIL
265,FAIL
266,EXC
267,UNCOV
268,UNCOV
269,LIVE
270,LIVE
271,FAIL
272,LIVE
273,FAIL
274,LIVE
275,LIVE
276,FAIL
277,EXC
278,UNCOV
279,UNCOV
280,LIVE
281,LIVE
282,FAIL
283,FAIL
284,FAIL
285,LIVE
286,LIVE
287,FAIL
