MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,LIVE
4,FAIL
5,LIVE
6,EXC
7,EXC
8,EXC
9,EXC
10,EXC
11,UNCOV
12,UNCOV
13,UNCOV
14,UNCOV
15,LIVE
16,EXC
17,FAIL
18,FAIL
19,LIVE
20,UNCOV
21,UNCOV
22,UNCOV
23,UNCOV
24,UNCOV
25,EXC
26,EXC
27,LIVE
28,LIVE
29,LIVE
30,EXC
31,LIVE
32,LIVE
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,LIVE
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,FAIL
44,EXC
45,FAIL
46,FAIL
47,EXC
48,EXC
49,FAIL
50,EXC
51,LIVE
52,LIVE
53,EXC
54,EXC
55,LIVE
56,LIVE
57,EXC
58,UNCOV
59,LIVE
60,LIVE
61,LIVE
62,LIVE
63,FAIL
64,LIVE
65,FAIL
66,LIVE
67,FAIL
68,FAIL
69,LIVE
70,FAIL
71,LIVE
72,LIVE
73,FAIL
74,LIVE
75,LIVE
76,LIVE
77,FAIL
78,LIVE
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,EXC
84,FAIL
85,FAIL
86,FAIL
87,EXC
88,FAIL
89,FAIL
