MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,EXC
3,EXC
4,EXC
5,LIVE
6,FAIL
7,EXC
8,FAIL
9,EXC
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,LIVE
15,EXC
16,FAIL
17,EXC
18,FAIL
19,EXC
20,EXC
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,EXC
26,EXC
27,FAIL
28,EXC
29,FAIL
30,EXC
31,FAIL
32,EXC
33,EXC
34,EXC
35,EXC
36,EXC
37,FAIL
38,EXC
39,FAIL
40,EXC
41,FAIL
42,EXC
43,EXC
44,FAIL
45,EXC
46,FAIL
47,EXC
48,FAIL
49,FAIL
50,FAIL
51,EXC
52,FAIL
53,FAIL
54,EXC
55,EXC
56,FAIL
57,EXC
58,EXC
59,EXC
60,LIVE
61,LIVE
62,EXC
63,EXC
64,EXC
65,FAIL
66,FAIL
67,EXC
68,FAIL
69,FAIL
70,EXC
71,EXC
72,FAIL
73,EXC
74,EXC
