MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,LIVE
4,FAIL
5,LIVE
6,FAIL
7,FAIL
8,FAIL
9,EXC
10,LIVE
11,FAIL
12,FAIL
13,FAIL
14,UNCOV
15,UNCOV
16,UNCOV
17,UNCOV
18,LIVE
19,LIVE
20,FAIL
21,FAIL
22,UNCOV
23,UNCOV
24,EXC
25,FAIL
26,FAIL
27,EXC
28,FAIL
29,EXC
30,FAIL
31,EXC
32,EXC
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,EXC
38,LIVE
39,FAIL
40,FAIL
41,FAIL
42,EXC
43,FAIL
44,FAIL
45,EXC
46,FAIL
47,FAIL
48,EXC
49,LIVE
50,FAIL
51,FAIL
52,FAIL
53,EXC
54,FAIL
55,FAIL
56,EXC
57,FAIL
58,FAIL
59,EXC
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,LIVE
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,LIVE
79,FAIL
80,TIME
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,LIVE
102,LIVE
103,LIVE
104,LIVE
105,LIVE
106,LIVE
107,EXC
108,LIVE
109,LIVE
110,EXC
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,EXC
116,FAIL
117,FAIL
118,FAIL
119,LIVE
120,LIVE
121,FAIL
122,LIVE
123,EXC
124,FAIL
125,FAIL
126,FAIL
127,FAIL
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,LIVE
134,FAIL
135,UNCOV
136,EXC
137,FAIL
138,LIVE
139,FAIL
140,FAIL
141,EXC
142,EXC
143,LIVE
144,LIVE
145,FAIL
146,FAIL
147,EXC
148,EXC
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,EXC
154,FAIL
155,FAIL
156,LIVE
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,LIVE
164,EXC
165,EXC
166,LIVE
167,FAIL
168,EXC
169,FAIL
170,FAIL
171,EXC
172,FAIL
173,EXC
174,LIVE
175,LIVE
176,EXC
177,EXC
178,EXC
179,LIVE
180,FAIL
181,EXC
182,FAIL
183,EXC
184,EXC
185,LIVE
186,FAIL
187,EXC
188,FAIL
189,EXC
190,EXC
191,FAIL
192,LIVE
193,EXC
194,LIVE
195,FAIL
196,LIVE
197,LIVE
198,FAIL
199,LIVE
200,EXC
201,EXC
202,EXC
203,LIVE
204,LIVE
205,EXC
206,UNCOV
207,UNCOV
208,UNCOV
209,LIVE
210,LIVE
211,LIVE
212,EXC
213,EXC
214,LIVE
215,FAIL
216,EXC
217,LIVE
218,EXC
219,EXC
220,LIVE
221,EXC
222,LIVE
223,EXC
224,EXC
225,EXC
226,EXC
227,EXC
228,EXC
229,FAIL
230,EXC
231,EXC
232,EXC
233,EXC
234,EXC
235,EXC
236,EXC
237,EXC
238,LIVE
239,EXC
240,EXC
241,LIVE
242,EXC
243,EXC
244,EXC
245,EXC
246,LIVE
247,LIVE
248,EXC
249,LIVE
250,EXC
251,LIVE
252,LIVE
253,EXC
254,LIVE
255,TIME
256,FAIL
257,LIVE
258,EXC
259,LIVE
260,LIVE
261,EXC
262,LIVE
263,EXC
264,LIVE
265,FAIL
266,LIVE
267,FAIL
268,LIVE
269,LIVE
270,FAIL
271,LIVE
272,FAIL
273,LIVE
274,LIVE
275,FAIL
276,LIVE
277,FAIL
278,LIVE
279,LIVE
280,FAIL
281,LIVE
282,TIME
283,FAIL
284,LIVE
285,LIVE
286,UNCOV
287,UNCOV
288,FAIL
289,FAIL
290,LIVE
291,FAIL
292,FAIL
293,FAIL
294,EXC
295,FAIL
296,LIVE
297,FAIL
298,LIVE
299,EXC
300,LIVE
301,EXC
302,FAIL
303,FAIL
304,EXC
305,LIVE
306,EXC
307,FAIL
308,EXC
309,EXC
310,FAIL
311,EXC
312,EXC
313,EXC
314,EXC
315,FAIL
316,FAIL
317,EXC
318,TIME
319,FAIL
320,EXC
