project,bug,tool,mutants_total,killed,survived,kill_rate
Cli,1,MAJOR,20,13,7,0.650
Cli,1,PIT,20,13,7,0.650
Cli,2,MAJOR,104,78,26,0.750
Cli,2,PIT,104,78,26,0.750
Cli,3,MAJOR,17,0,17,0.000
Cli,3,PIT,17,0,17,0.000
Cli,4,MAJOR,100,80,20,0.800
Cli,4,PIT,100,80,20,0.800
Cli,5,MAJOR,24,24,0,1.000
Cli,5,PIT,24,24,0,1.000
Cli,7,MAJOR,58,0,58,0.000
Cli,7,PIT,58,0,58,0.000
Cli,8,MAJOR,313,138,175,0.441
Cli,8,PIT,313,138,175,0.441
Cli,9,MAJOR,108,81,27,0.750
Cli,9,PIT,108,81,27,0.750
Cli,10,MAJOR,117,96,21,0.821
Cli,10,PIT,117,96,21,0.821
Cli,11,MAJOR,318,138,180,0.434
Cli,11,PIT,318,138,180,0.434
Cli,12,MAJOR,42,30,12,0.714
Cli,12,PIT,42,30,12,0.714
Cli,13,MAJOR,226,178,48,0.788
Cli,13,PIT,226,178,48,0.788
Cli,14,MAJOR,171,145,26,0.848
Cli,14,PIT,171,145,26,0.848
Cli,15,MAJOR,60,50,10,0.833
Cli,15,PIT,60,50,10,0.833
Cli,16,MAJOR,339,229,110,0.676
Cli,16,PIT,339,229,110,0.676
Cli,17,MAJOR,104,53,51,0.510
Cli,17,PIT,104,53,51,0.510
Cli,18,MAJOR,104,53,51,0.510
Cli,18,PIT,104,53,51,0.510
Cli,19,MAJOR,104,53,51,0.510
Cli,19,PIT,104,53,51,0.510
Cli,20,MAJOR,103,52,51,0.505
Cli,20,PIT,103,52,51,0.505
Cli,21,MAJOR,256,224,32,0.875
Cli,21,PIT,256,224,32,0.875
Cli,22,MAJOR,97,41,56,0.423
Cli,22,PIT,97,41,56,0.423
Cli,23,MAJOR,320,233,87,0.728
Cli,23,PIT,320,233,87,0.728
Cli,24,MAJOR,337,235,102,0.697
Cli,24,PIT,337,235,102,0.697
Cli,25,MAJOR,344,236,108,0.686
Cli,25,PIT,344,236,108,0.686
Cli,26,MAJOR,52,40,12,0.769
Cli,26,PIT,52,40,12,0.769
Cli,27,MAJOR,22,20,2,0.909
Cli,27,PIT,22,20,2,0.909
Cli,28,MAJOR,99,74,25,0.747
Cli,28,PIT,99,74,25,0.747
Cli,29,MAJOR,25,25,0,1.000
Cli,29,PIT,25,25,0,1.000
Cli,30,MAJOR,466,59,407,0.127
Cli,30,PIT,466,59,407,0.127
Cli,31,MAJOR,588,312,276,0.531
Cli,31,PIT,588,314,274,0.534
Cli,32,MAJOR,354,149,205,0.421
Cli,32,PIT,354,149,205,0.421
Cli,33,MAJOR,335,149,186,0.445
Cli,33,PIT,335,149,186,0.445
Cli,34,MAJOR,236,156,80,0.661
Cli,34,PIT,236,156,80,0.661
Cli,35,MAJOR,40,30,10,0.750
Cli,35,PIT,40,30,10,0.750
Cli,36,MAJOR,65,53,12,0.815
Cli,36,PIT,65,53,12,0.815
Cli,37,MAJOR,370,284,86,0.768
Cli,37,PIT,370,284,86,0.768
Cli,38,MAJOR,372,284,88,0.763
Cli,38,PIT,372,284,88,0.763
Cli,39,MAJOR,13,2,11,0.154
Cli,39,PIT,13,2,11,0.154
Cli,40,MAJOR,13,13,0,1.000
Cli,40,PIT,13,13,0,1.000
