engine,project,bug,mutants_total,killed,survived
MAJOR,Cli,1,16,12,4
PIT,Cli,1,16,12,4
MAJOR,Cli,2,104,77,27
PIT,Cli,2,104,77,27
MAJOR,Cli,3,22,8,14
PIT,Cli,3,22,8,14
MAJOR,Cli,4,107,86,21
PIT,Cli,4,107,86,21
MAJOR,Cli,5,25,25,0
PIT,Cli,5,25,25,0
MAJOR,Cli,7,58,31,27
PIT,Cli,7,58,31,27
MAJOR,Cli,8,315,184,131
PIT,Cli,8,315,184,131
MAJOR,Cli,9,117,96,21
PIT,Cli,9,117,96,21
MAJOR,Cli,10,117,96,21
PIT,Cli,10,117,96,21
MAJOR,Cli,11,317,204,113
PIT,Cli,11,317,207,110
MAJOR,Cli,12,62,53,9
PIT,Cli,12,62,53,9
MAJOR,Cli,13,226,178,48
PIT,Cli,13,226,178,48
MAJOR,Cli,14,172,146,26
PIT,Cli,14,172,147,25
MAJOR,Cli,15,73,58,15
PIT,Cli,15,73,58,15
MAJOR,Cli,16,348,239,109
PIT,Cli,16,348,239,109
MAJOR,Cli,17,104,80,24
PIT,Cli,17,104,80,24
MAJOR,Cli,18,104,84,20
PIT,Cli,18,104,84,20
MAJOR,Cli,19,103,82,21
PIT,Cli,19,103,82,21
MAJOR,Cli,20,113,89,24
PIT,Cli,20,113,89,24
MAJOR,Cli,21,268,232,36
PIT,Cli,21,268,232,36
MAJOR,Cli,22,109,91,18
PIT,Cli,22,109,91,18
MAJOR,Cli,23,334,244,90
PIT,Cli,23,334,243,91
MAJOR,Cli,24,344,263,81
PIT,Cli,24,344,263,81
MAJOR,Cli,25,340,258,82
PIT,Cli,25,340,258,82
MAJOR,Cli,26,53,46,7
PIT,Cli,26,53,46,7
MAJOR,Cli,27,22,21,1
PIT,Cli,27,22,21,1
MAJOR,Cli,28,99,80,19
PIT,Cli,28,99,80,19
MAJOR,Cli,29,47,43,4
PIT,Cli,29,47,43,4
MAJOR,Cli,30,484,379,105
PIT,Cli,30,484,379,105
MAJOR,Cli,31,598,438,160
PIT,Cli,31,598,438,160
MAJOR,Cli,32,335,267,68
PIT,Cli,32,335,267,68
MAJOR,Cli,33,342,268,74
PIT,Cli,33,342,267,75
MAJOR,Cli,34,236,161,75
PIT,Cli,34,236,161,75
MAJOR,Cli,35,42,32,10
PIT,Cli,35,42,32,10
MAJOR,Cli,36,65,53,12
PIT,Cli,36,65,53,12
MAJOR,Cli,37,372,286,86
PIT,Cli,37,372,286,86
MAJOR,Cli,38,385,292,93
PIT,Cli,38,385,292,93
MAJOR,Cli,39,13,13,0
PIT,Cli,39,13,13,0
MAJOR,Cli,40,13,13,0
PIT,Cli,40,13,13,0
