project,bug,tool,mutants_total,killed,survived,kill_rate
Cli,1,MAJOR,16,12,4,0.750
Cli,1,PIT,16,12,4,0.750
Cli,2,MAJOR,104,77,27,0.740
Cli,2,PIT,104,77,27,0.740
Cli,3,MAJOR,22,8,14,0.364
Cli,3,PIT,22,8,14,0.364
Cli,4,MAJOR,107,86,21,0.804
Cli,4,PIT,107,86,21,0.804
Cli,5,MAJOR,25,25,0,1.000
Cli,5,PIT,25,25,0,1.000
Cli,7,MAJOR,58,31,27,0.534
Cli,7,PIT,58,31,27,0.534
Cli,8,MAJOR,315,184,131,0.584
Cli,8,PIT,315,184,131,0.584
Cli,9,MAJOR,117,96,21,0.821
Cli,9,PIT,117,96,21,0.821
Cli,10,MAJOR,117,96,21,0.821
Cli,10,PIT,117,96,21,0.821
Cli,11,MAJOR,317,204,113,0.644
Cli,11,PIT,317,207,110,0.653
Cli,12,MAJOR,62,53,9,0.855
Cli,12,PIT,62,53,9,0.855
Cli,13,MAJOR,226,178,48,0.788
Cli,13,PIT,226,178,48,0.788
Cli,14,MAJOR,172,146,26,0.849
Cli,14,PIT,172,147,25,0.855
Cli,15,MAJOR,73,58,15,0.795
Cli,15,PIT,73,58,15,0.795
Cli,16,MAJOR,348,239,109,0.687
Cli,16,PIT,348,239,109,0.687
Cli,17,MAJOR,104,80,24,0.769
Cli,17,PIT,104,80,24,0.769
Cli,18,MAJOR,104,84,20,0.808
Cli,18,PIT,104,84,20,0.808
Cli,19,MAJOR,103,82,21,0.796
Cli,19,PIT,103,82,21,0.796
Cli,20,MAJOR,113,89,24,0.788
Cli,20,PIT,113,89,24,0.788
Cli,21,MAJOR,268,232,36,0.866
Cli,21,PIT,268,232,36,0.866
Cli,22,MAJOR,109,91,18,0.835
Cli,22,PIT,109,91,18,0.835
Cli,23,MAJOR,334,244,90,0.731
Cli,23,PIT,334,243,91,0.728
Cli,24,MAJOR,344,263,81,0.765
Cli,24,PIT,344,263,81,0.765
Cli,25,MAJOR,340,258,82,0.759
Cli,25,PIT,340,258,82,0.759
Cli,26,MAJOR,53,46,7,0.868
Cli,26,PIT,53,46,7,0.868
Cli,27,MAJOR,22,21,1,0.955
Cli,27,PIT,22,21,1,0.955
Cli,28,MAJOR,99,80,19,0.808
Cli,28,PIT,99,80,19,0.808
Cli,29,MAJOR,47,43,4,0.915
Cli,29,PIT,47,43,4,0.915
Cli,30,MAJOR,484,379,105,0.783
Cli,30,PIT,484,379,105,0.783
Cli,31,MAJOR,598,438,160,0.732
Cli,31,PIT,598,438,160,0.732
Cli,32,MAJOR,335,267,68,0.797
Cli,32,PIT,335,267,68,0.797
Cli,33,MAJOR,342,268,74,0.784
Cli,33,PIT,342,267,75,0.781
Cli,34,MAJOR,236,161,75,0.682
Cli,34,PIT,236,161,75,0.682
Cli,35,MAJOR,42,32,10,0.762
Cli,35,PIT,42,32,10,0.762
Cli,36,MAJOR,65,53,12,0.815
Cli,36,PIT,65,53,12,0.815
Cli,37,MAJOR,372,286,86,0.769
Cli,37,PIT,372,286,86,0.769
Cli,38,MAJOR,385,292,93,0.758
Cli,38,PIT,385,292,93,0.758
Cli,39,MAJOR,13,13,0,1.000
Cli,39,PIT,13,13,0,1.000
Cli,40,MAJOR,13,13,0,1.000
Cli,40,PIT,13,13,0,1.000
