language,project,bug_id,raw_mapping,is_no_operator,strict_eligible,operators,unresolved_labels,mapping_id
Java,cli,Cli2,"CR[6],CFSM[27]",False,True,CFSM;CR,,Java::cli::Cli2
Java,cli,Cli3,"MCR[2],CI[36]",False,True,CI;MCR,,Java::cli::Cli3
Java,cli,Cli4,SM[30],False,True,SM,,Java::cli::Cli4
Java,cli,cli5,"CI[36],MRV[145]",False,True,CI;MRV,,Java::cli::cli5
Java,cli,Cli7,DTR[5],False,True,DTR,,Java::cli::Cli7
Java,cli,Cli8,CR[6],False,True,CR,,Java::cli::Cli8
Java,cli,Cli9,SI[77],False,True,SI,,Java::cli::Cli9
Java,cli,Cli10,"RAR[8],MCR[2]",False,True,MCR;RAR,,Java::cli::Cli10
Java,cli,Cli11,"AOR[9],ROR[70],SD[28],SI[77]",False,True,AOR;ROR;SD;SI,,Java::cli::Cli11
Java,cli,Cli12,"ROR[70],CR[6],EII[?]",False,True,CR;EII;ROR,,Java::cli::Cli12
Java,cli,Cli13,no,True,False,,,Java::cli::Cli13
Java,cli,Cli14,"DOC[16],CFSM[27],CI[36]",False,True,CFSM;CI;DOC,,Java::cli::Cli14
Java,cli,Cli15,"BCO[17],FLI[205],MCR[2]",False,True,BCO;FLI;MCR,,Java::cli::Cli15
Java,cli,Cli16,no,True,False,,,Java::cli::Cli16
Java,cli,Cli17,CFSM[27],False,True,CFSM,,Java::cli::Cli17
Java,cli,Cli18,"MCR[2],DOM[?]",False,True,MA;MCR,,Java::cli::Cli18
Java,cli,Cli19,"MOCS[20],VA[200],VR[26],ROR[70]",False,True,MOCS;ROR;VA;VR,,Java::cli::Cli19
Java,cli,Cli20,"MCR[2],MOCS[20],CI[36]",False,True,CI;MCR;MOCS,,Java::cli::Cli20
Java,cli,Cli21,no,True,False,,,Java::cli::Cli21
Java,cli,Cli22,no,True,False,,,Java::cli::Cli22
Java,cli,Cli23,"SD[28],CI[36],MCR[2]",False,True,CI;MCR;SD,,Java::cli::Cli23
Java,cli,Cli24,VA[200],False,True,VA,,Java::cli::Cli24
Java,cli,Cli25,VA[200],False,True,VA,,Java::cli::Cli25
Java,cli,Cli26,"VR[26],EI[38],MCR[2]",False,True,EI;MCR;VR,,Java::cli::Cli26
Java,cli,Cli27,MCR[2],False,True,MCR,,Java::cli::Cli27
Java,cli,Cli28,CFSM[27],False,True,CFSM,,Java::cli::Cli28
Java,cli,Cli29,"DOC[16],MOCS[20],SM[30],ROR[70]",False,True,DOC;MOCS;ROR;SM,,Java::cli::Cli29
Java,cli,Cli30,"CN[31],MCR[2],CI[36]",False,True,CI;CN;MCR,,Java::cli::Cli30
Java,cli,Cli31,no,True,False,,,Java::cli::Cli31
Java,cli,Cli32,LD[33],False,True,WLI,,Java::cli::Cli32
Java,cli,Cli33,no,True,False,,,Java::cli::Cli33
Java,cli,Cli34,"VA[200],DTR[5]",False,True,DTR;VA,,Java::cli::Cli34
Java,cli,Cli35,"CI[36],MRV[145]",False,True,CI;MRV,,Java::cli::Cli35
Java,cli,Cli36,"AIS[218],MCR[2]",False,True,AIS;MCR,,Java::cli::Cli36
Java,cli,Cli37,"CI[36],LOR[58],MRV[145]",False,True,CI;LOR;MRV,,Java::cli::Cli37
Java,cli,Cli38,"CI[36],LOR[58],MRV[145]",False,True,CI;LOR;MRV,,Java::cli::Cli38
Java,cli,Cli39,no,True,False,,,Java::cli::Cli39
Java,cli,Cli40,SI[77],False,True,SI,,Java::cli::Cli40
Java,cli,Cli41,"VA[200],EII[?],VR[26]",False,True,EII;VA;VR,,Java::cli::Cli41
Java,cli,Cli42,"CI[36],SI[77]",False,True,CI;SI,,Java::cli::Cli42
Java,csv,Csv1,"MOCS[20],LOR[58]",False,True,LOR;MOCS,,Java::csv::Csv1
Java,csv,Csv2,EI[38],False,True,EI,,Java::csv::Csv2
