source_language,target_language,method,k,operators,covered,total,coverage_percent
Java,Java,Frequency-based mutant operator set,1,CI,64,619,10.339256865912763
Java,JavaScript,Frequency-based mutant operator set,1,CI,7,128,5.46875
Java,Python,Frequency-based mutant operator set,1,CI,7,178,3.932584269662921
Java,Java,Composition-aware mutant operator set,1,CI,64,619,10.339256865912763
Java,JavaScript,Composition-aware mutant operator set,1,CI,7,128,5.46875
Java,Python,Composition-aware mutant operator set,1,CI,7,178,3.932584269662921
Java,Java,Frequency-based mutant operator set,3,CI;MCR;MRV,215,619,34.733441033925686
Java,JavaScript,Frequency-based mutant operator set,3,CI;MCR;MRV,36,128,28.125
Java,Python,Frequency-based mutant operator set,3,CI;MCR;MRV,66,178,37.07865168539326
Java,Java,Composition-aware mutant operator set,3,CI;MCR;MRV,215,619,34.733441033925686
Java,JavaScript,Composition-aware mutant operator set,3,CI;MCR;MRV,36,128,28.125
Java,Python,Composition-aware mutant operator set,3,CI;MCR;MRV,66,178,37.07865168539326
Java,Java,Frequency-based mutant operator set,5,CI;LOR;MCR;MRV;VA,293,619,47.33441033925686
Java,JavaScript,Frequency-based mutant operator set,5,CI;LOR;MCR;MRV;VA,56,128,43.75
Java,Python,Frequency-based mutant operator set,5,CI;LOR;MCR;MRV;VA,70,178,39.325842696629216
Java,Java,Composition-aware mutant operator set,5,CI;LOR;MCR;MRV;ROR,300,619,48.46526655896607
Java,JavaScript,Composition-aware mutant operator set,5,CI;LOR;MCR;MRV;ROR,49,128,38.28125
Java,Python,Composition-aware mutant operator set,5,CI;LOR;MCR;MRV;ROR,70,178,39.325842696629216
Java,Java,Frequency-based mutant operator set,10,CI;DOC;LOR;MA;MCR;MOCS;MPM;MRV;ROR;VA,418,619,67.52827140549273
Java,JavaScript,Frequency-based mutant operator set,10,CI;DOC;LOR;MA;MCR;MOCS;MPM;MRV;ROR;VA,83,128,64.84375
Java,Python,Frequency-based mutant operator set,10,CI;DOC;LOR;MA;MCR;MOCS;MPM;MRV;ROR;VA,102,178,57.30337078651685
Java,Java,Composition-aware mutant operator set,10,CI;DOC;LOR;MCR;MOCS;MPM;MRV;ROR;SD;VA,420,619,67.8513731825525
Java,JavaScript,Composition-aware mutant operator set,10,CI;DOC;LOR;MCR;MOCS;MPM;MRV;ROR;SD;VA,89,128,69.53125
Java,Python,Composition-aware mutant operator set,10,CI;DOC;LOR;MCR;MOCS;MPM;MRV;ROR;SD;VA,102,178,57.30337078651685
JavaScript,Java,Frequency-based mutant operator set,1,CI,64,619,10.339256865912763
JavaScript,JavaScript,Frequency-based mutant operator set,1,CI,7,128,5.46875
JavaScript,Python,Frequency-based mutant operator set,1,CI,7,178,3.932584269662921
JavaScript,Java,Composition-aware mutant operator set,1,LOR,26,619,4.20032310177706
JavaScript,JavaScript,Composition-aware mutant operator set,1,LOR,12,128,9.375
JavaScript,Python,Composition-aware mutant operator set,1,LOR,1,178,0.5617977528089888
JavaScript,Java,Frequency-based mutant operator set,3,CI;MCR;MRV,215,619,34.733441033925686
JavaScript,JavaScript,Frequency-based mutant operator set,3,CI;MCR;MRV,36,128,28.125
JavaScript,Python,Frequency-based mutant operator set,3,CI;MCR;MRV,66,178,37.07865168539326
JavaScript,Java,Composition-aware mutant operator set,3,CI;MCR;MRV,215,619,34.733441033925686
JavaScript,JavaScript,Composition-aware mutant operator set,3,CI;MCR;MRV,36,128,28.125
JavaScript,Python,Composition-aware mutant operator set,3,CI;MCR;MRV,66,178,37.07865168539326
JavaScript,Java,Frequency-based mutant operator set,5,CI;MCR;MOCS;MRV;SI,238,619,38.44911147011309
JavaScript,JavaScript,Frequency-based mutant operator set,5,CI;MCR;MOCS;MRV;SI,63,128,49.21875
JavaScript,Python,Frequency-based mutant operator set,5,CI;MCR;MOCS;MRV;SI,125,178,70.2247191011236
JavaScript,Java,Composition-aware mutant operator set,5,CI;LOR;MCR;MOCS;MRV,290,619,46.849757673667206
JavaScript,JavaScript,Composition-aware mutant operator set,5,CI;LOR;MCR;MOCS;MRV,64,128,50.0
JavaScript,Python,Composition-aware mutant operator set,5,CI;LOR;MCR;MOCS;MRV,98,178,55.056179775280896
JavaScript,Java,Frequency-based mutant operator set,10,CI;CR;LOR;MCR;MOCS;MPM;MRV;SD;SI;VA,384,619,62.035541195476576
JavaScript,JavaScript,Frequency-based mutant operator set,10,CI;CR;LOR;MCR;MOCS;MPM;MRV;SD;SI;VA,104,128,81.25
JavaScript,Python,Frequency-based mutant operator set,10,CI;CR;LOR;MCR;MOCS;MPM;MRV;SD;SI;VA,140,178,78.65168539325843
JavaScript,Java,Composition-aware mutant operator set,10,CI;CR;LOR;MCR;MOCS;MPM;MRV;SD;SI;VA,384,619,62.035541195476576
JavaScript,JavaScript,Composition-aware mutant operator set,10,CI;CR;LOR;MCR;MOCS;MPM;MRV;SD;SI;VA,104,128,81.25
JavaScript,Python,Composition-aware mutant operator set,10,CI;CR;LOR;MCR;MOCS;MPM;MRV;SD;SI;VA,140,178,78.65168539325843
Python,Java,Frequency-based mutant operator set,1,MCR,54,619,8.723747980613894
Python,JavaScript,Frequency-based mutant operator set,1,MCR,11,128,8.59375
Python,Python,Frequency-based mutant operator set,1,MCR,32,178,17.97752808988764
Python,Java,Composition-aware mutant operator set,1,MCR,54,619,8.723747980613894
Python,JavaScript,Composition-aware mutant operator set,1,MCR,11,128,8.59375
Python,Python,Composition-aware mutant operator set,1,MCR,32,178,17.97752808988764
Python,Java,Frequency-based mutant operator set,3,CI;MCR;SI,151,619,24.394184168012924
Python,JavaScript,Frequency-based mutant operator set,3,CI;MCR;SI,26,128,20.3125
Python,Python,Frequency-based mutant operator set,3,CI;MCR;SI,81,178,45.50561797752809
Python,Java,Composition-aware mutant operator set,3,CI;MCR;SI,151,619,24.394184168012924
Python,JavaScript,Composition-aware mutant operator set,3,CI;MCR;SI,26,128,20.3125
Python,Python,Composition-aware mutant operator set,3,CI;MCR;SI,81,178,45.50561797752809
Python,Java,Frequency-based mutant operator set,5,CI;MCR;MOCS;MRV;SI,238,619,38.44911147011309
Python,JavaScript,Frequency-based mutant operator set,5,CI;MCR;MOCS;MRV;SI,63,128,49.21875
Python,Python,Frequency-based mutant operator set,5,CI;MCR;MOCS;MRV;SI,125,178,70.2247191011236
Python,Java,Composition-aware mutant operator set,5,CI;MCR;MOCS;MRV;SI,238,619,38.44911147011309
Python,JavaScript,Composition-aware mutant operator set,5,CI;MCR;MOCS;MRV;SI,63,128,49.21875
Python,Python,Composition-aware mutant operator set,5,CI;MCR;MOCS;MRV;SI,125,178,70.2247191011236
Python,Java,Frequency-based mutant operator set,10,AIS;CI;CR;EI;LOR;MCR;MOCS;MRV;SI;SR,341,619,55.088852988691436
Python,JavaScript,Frequency-based mutant operator set,10,AIS;CI;CR;EI;LOR;MCR;MOCS;MRV;SI;SR,81,128,63.28125
Python,Python,Frequency-based mutant operator set,10,AIS;CI;CR;EI;LOR;MCR;MOCS;MRV;SI;SR,160,178,89.88764044943821
Python,Java,Composition-aware mutant operator set,10,AIS;CI;CR;EI;LOR;MCR;MOCS;MRV;SI;SR,341,619,55.088852988691436
Python,JavaScript,Composition-aware mutant operator set,10,AIS;CI;CR;EI;LOR;MCR;MOCS;MRV;SI;SR,81,128,63.28125
Python,Python,Composition-aware mutant operator set,10,AIS;CI;CR;EI;LOR;MCR;MOCS;MRV;SI;SR,160,178,89.88764044943821
