language,fold,cost_scheme,budget_fraction,budget,strategy,covered,total,coverage_percent,selected_count,selected_cost,coverage_std
Java,1,linear,0.1,6.2,frequency,27.0,121,22.31404958677686,2.0,6.0,
Java,1,linear,0.1,6.2,frequency_per_cost,29.0,121,23.96694214876033,3.0,6.0,
Java,1,linear,0.1,6.2,cheap_first,14.0,121,11.570247933884298,6.0,6.0,
Java,1,linear,0.1,6.2,exact_cost_aware,29.0,121,23.96694214876033,3.0,6.0,
Java,1,linear,0.1,6.2,random,5.84,121,4.8264462809917354,3.656,6.0,4.318741923238852
Java,1,linear,0.2,12.4,frequency,64.0,121,52.892561983471076,6.0,12.0,
Java,1,linear,0.2,12.4,frequency_per_cost,64.0,121,52.892561983471076,6.0,12.0,
Java,1,linear,0.2,12.4,cheap_first,19.0,121,15.702479338842975,12.0,12.0,
Java,1,linear,0.2,12.4,exact_cost_aware,64.0,121,52.892561983471076,6.0,12.0,
Java,1,linear,0.2,12.4,random,12.526000000000002,121,10.352066115702481,6.854,12.0,6.8005549777664935
Java,1,linear,0.3,18.6,frequency,67.0,121,55.37190082644628,7.0,18.0,
Java,1,linear,0.3,18.6,frequency_per_cost,75.0,121,61.98347107438016,9.0,18.0,
Java,1,linear,0.3,18.6,cheap_first,30.0,121,24.793388429752067,16.0,18.0,
Java,1,linear,0.3,18.6,exact_cost_aware,74.0,121,61.15702479338843,10.0,18.0,
Java,1,linear,0.3,18.6,random,19.912,121,16.45619834710744,10.053,18.0,8.424328273049534
Java,1,linear,0.4,24.8,frequency,81.0,121,66.94214876033058,10.0,24.0,
Java,1,linear,0.4,24.8,frequency_per_cost,79.0,121,65.2892561983471,12.0,24.0,
Java,1,linear,0.4,24.8,cheap_first,31.0,121,25.619834710743802,19.0,24.0,
Java,1,linear,0.4,24.8,exact_cost_aware,81.0,121,66.94214876033058,12.0,24.0,
Java,1,linear,0.4,24.8,random,28.541999999999998,121,23.588429752066116,13.118,24.0,10.59956353023266
Java,1,linear,0.5,31.0,frequency,90.0,121,74.3801652892562,13.0,31.0,
Java,1,linear,0.5,31.0,frequency_per_cost,88.0,121,72.72727272727273,14.0,31.0,
Java,1,linear,0.5,31.0,cheap_first,32.0,121,26.446280991735538,22.0,30.0,
Java,1,linear,0.5,31.0,exact_cost_aware,88.0,121,72.72727272727273,14.0,31.0,
Java,1,linear,0.5,31.0,random,40.63300000000001,121,33.5809917355372,16.837,31.0,13.39835210679834
Java,1,exponential,0.1,7.8,frequency,29.0,121,23.96694214876033,3.0,7.0,
Java,1,exponential,0.1,7.8,frequency_per_cost,29.0,121,23.96694214876033,3.0,7.0,
Java,1,exponential,0.1,7.8,cheap_first,14.0,121,11.570247933884298,7.0,7.0,
Java,1,exponential,0.1,7.8,exact_cost_aware,29.0,121,23.96694214876033,3.0,7.0,
Java,1,exponential,0.1,7.8,random,5.704000000000001,121,4.71404958677686,4.368,7.0,3.848620227022615
Java,1,exponential,0.2,15.6,frequency,55.0,121,45.45454545454545,4.0,15.0,
Java,1,exponential,0.2,15.6,frequency_per_cost,42.0,121,34.710743801652896,9.0,15.0,
Java,1,exponential,0.2,15.6,cheap_first,19.0,121,15.702479338842975,14.0,14.0,
