language,cost_scheme,budget_fraction,strategy,covered,total,mean_selected_count,mean_selected_cost,coverage_percent
Java,exponential,0.1,cheap_first,63.0,619,7.0,7.0,10.177705977382876
Java,exponential,0.1,exact_cost_aware,122.0,619,3.0,7.0,19.709208400646204
Java,exponential,0.1,frequency,135.0,619,3.0,7.0,21.809369951534734
Java,exponential,0.1,frequency_per_cost,135.0,619,3.0,7.0,21.809369951534734
Java,exponential,0.1,random,30.235,619,4.375400000000001,7.0,4.884491114701131
Java,exponential,0.2,cheap_first,73.0,619,14.0,14.0,11.793214862681745
Java,exponential,0.2,exact_cost_aware,269.0,619,4.0,15.0,43.45718901453958
Java,exponential,0.2,frequency,269.0,619,4.0,15.0,43.45718901453958
Java,exponential,0.2,frequency_per_cost,206.0,619,8.4,15.0,33.2794830371567
Java,exponential,0.2,random,66.109,619,7.468999999999999,15.0,10.679967689822293
Java,exponential,0.3,cheap_first,138.0,619,18.0,22.0,22.294022617124394
Java,exponential,0.3,exact_cost_aware,368.0,619,9.2,23.0,59.45072697899838
Java,exponential,0.3,frequency,302.0,619,5.8,23.0,48.78836833602585
Java,exponential,0.3,frequency_per_cost,365.0,619,9.4,23.0,58.966074313408726
Java,exponential,0.3,random,105.81700000000001,619,10.7112,23.0,17.094830371567046
Java,exponential,0.4,cheap_first,157.0,619,22.0,30.0,25.363489499192244
Java,exponential,0.4,exact_cost_aware,406.0,619,13.0,31.0,65.58966074313409
Java,exponential,0.4,frequency,407.0,619,10.0,31.0,65.75121163166398
Java,exponential,0.4,frequency_per_cost,406.0,619,13.8,31.0,65.58966074313409
Java,exponential,0.4,random,154.36,619,14.1042,30.9998,24.936995153473347
Java,exponential,0.5,cheap_first,177.0,619,26.0,38.0,28.594507269789982
Java,exponential,0.5,exact_cost_aware,438.0,619,16.4,39.0,70.75928917609046
Java,exponential,0.5,frequency,433.0,619,11.4,39.0,69.95153473344104
Java,exponential,0.5,frequency_per_cost,433.0,619,15.8,39.0,69.95153473344104
Java,exponential,0.5,random,207.09700000000004,619,17.2956,38.9994,33.456704361873996
Java,linear,0.1,cheap_first,62.0,619,6.0,6.0,10.016155088852988
Java,linear,0.1,exact_cost_aware,122.0,619,3.0,6.0,19.709208400646204
Java,linear,0.1,frequency,109.0,619,2.2,6.0,17.609046849757675
Java,linear,0.1,frequency_per_cost,135.0,619,3.0,6.0,21.809369951534734
Java,linear,0.1,random,28.706,619,3.6353999999999997,6.0,4.637479806138933
Java,linear,0.2,cheap_first,73.0,619,12.0,12.0,11.793214862681745
Java,linear,0.2,exact_cost_aware,310.0,619,6.0,12.0,50.080775444264944
Java,linear,0.2,frequency,310.0,619,6.0,12.0,50.080775444264944
Java,linear,0.2,frequency_per_cost,310.0,619,6.0,12.0,50.080775444264944
Java,linear,0.2,random,63.284000000000006,619,6.825,12.0,10.223586429725364
Java,linear,0.3,cheap_first,126.0,619,16.0,18.0,20.355411954765753
Java,linear,0.3,exact_cost_aware,368.0,619,9.8,18.0,59.45072697899838
Java,linear,0.3,frequency,356.0,619,7.0,18.0,57.51211631663974
Java,linear,0.3,frequency_per_cost,369.0,619,9.4,18.0,59.61227786752827
Java,linear,0.3,random,102.479,619,9.9924,18.0,16.55557350565428
Java,linear,0.4,cheap_first,145.0,619,19.0,24.0,23.424878836833603
Java,linear,0.4,exact_cost_aware,414.99999999999994,619,11.4,24.0,67.04361873990305
Java,linear,0.4,frequency,412.0,619,10.2,24.0,66.5589660743134
Java,linear,0.4,frequency_per_cost,417.99999999999994,619,11.6,24.0,67.52827140549272
Java,linear,0.4,random,147.47299999999998,619,13.143200000000002,24.0,23.82439418416801
Java,linear,0.5,cheap_first,157.0,619,22.0,30.0,25.363489499192244
Java,linear,0.5,exact_cost_aware,453.0,619,14.6,31.0,73.18255250403877
Java,linear,0.5,frequency,460.0,619,13.6,31.0,74.31340872374798
Java,linear,0.5,frequency_per_cost,457.0,619,14.4,31.0,73.82875605815832
Java,linear,0.5,random,206.268,619,16.897399999999998,31.0,33.32277867528271
Java,steep,0.1,cheap_first,70.0,619,10.0,10.0,11.308562197092083
Java,steep,0.1,exact_cost_aware,110.0,619,3.4,10.0,17.77059773828756
Java,steep,0.1,frequency,61.0,619,1.4,10.0,9.854604200323102
Java,steep,0.1,frequency_per_cost,107.0,619,8.0,10.0,17.2859450726979
Java,steep,0.1,random,31.998,619,4.6256,10.0,5.169305331179322
Java,steep,0.2,cheap_first,126.0,619,16.0,20.0,20.355411954765753
Java,steep,0.2,exact_cost_aware,269.0,619,4.0,20.0,43.45718901453958
Java,steep,0.2,frequency,269.0,619,4.0,20.0,43.45718901453958
Java,steep,0.2,frequency_per_cost,202.0,619,10.6,20.0,32.63327948303716
Java,steep,0.2,random,66.132,619,7.737,20.0,10.683683360258483
Java,steep,0.3,cheap_first,145.0,619,19.0,29.0,23.424878836833603
Java,steep,0.3,exact_cost_aware,368.0,619,10.2,31.0,59.45072697899838
Java,steep,0.3,frequency,325.0,619,6.0,31.0,52.50403877221325
Java,steep,0.3,frequency_per_cost,364.0,619,10.8,31.0,58.80452342487884
Java,steep,0.3,random,109.053,619,11.218,31.0,17.617609046849758
Java,steep,0.4,cheap_first,166.0,619,23.0,41.0,26.81744749596123
Java,steep,0.4,exact_cost_aware,400.0,619,14.0,41.0,64.62035541195476
Java,steep,0.4,frequency,407.0,619,11.0,41.0,65.75121163166398
Java,steep,0.4,frequency_per_cost,397.0,619,14.0,41.0,64.1357027463651
Java,steep,0.4,random,152.904,619,14.2534,41.0,24.70177705977383
Java,steep,0.5,cheap_first,177.0,619,26.0,50.0,28.594507269789982
Java,steep,0.5,exact_cost_aware,428.0,619,16.0,52.0,69.1437802907916
Java,steep,0.5,frequency,426.0,619,12.2,52.0,68.82067851373182
Java,steep,0.5,frequency_per_cost,432.0,619,16.2,52.0,69.78998384491115
Java,steep,0.5,random,210.334,619,17.6738,51.993399999999994,33.97964458804524
JavaScript,exponential,0.1,cheap_first,19.0,128,7.0,7.0,14.84375
JavaScript,exponential,0.1,exact_cost_aware,24.000000000000004,128,6.0,7.0,18.750000000000004
JavaScript,exponential,0.1,frequency,19.0,128,3.0,7.0,14.84375
JavaScript,exponential,0.1,frequency_per_cost,24.000000000000004,128,4.0,7.0,18.750000000000004
JavaScript,exponential,0.1,random,9.067999999999998,128,4.3548,7.0,7.084374999999998
