scheme,operator,tier,cost
linear,CI,Extremely High,4.0
linear,MCR,High,3.0
linear,MRV,Moderate,2.0
linear,LOR,Low,1.0
linear,VA,Extremely High,4.0
linear,ROR,Low,1.0
linear,MPM,High,3.0
linear,MOCS,Extremely High,4.0
linear,DOC,Low,1.0
linear,SD,Low,1.0
linear,MA,High,3.0
linear,AIS,Low,1.0
linear,DTR,Moderate,2.0
linear,CR,High,3.0
linear,SR,Moderate,2.0
linear,EII,Moderate,2.0
linear,VR,Moderate,2.0
linear,CFSM,Moderate,2.0
linear,SI,Moderate,2.0
linear,BCO,Moderate,2.0
linear,EI,Moderate,2.0
linear,FLI,Moderate,2.0
linear,WLI,Moderate,2.0
linear,CASEI,Moderate,2.0
linear,AA,Low,1.0
linear,SM,Low,1.0
linear,ElseI,Low,1.0
linear,BR,Low,1.0
linear,AOR,Low,1.0
linear,DIS,Low,1.0
linear,BWO,Low,1.0
linear,RAR,Low,1.0
linear,CN,Low,1.0
exponential,CI,Extremely High,8.0
exponential,MCR,High,4.0
exponential,MRV,Moderate,2.0
exponential,LOR,Low,1.0
exponential,VA,Extremely High,8.0
exponential,ROR,Low,1.0
exponential,MPM,High,4.0
exponential,MOCS,Extremely High,8.0
exponential,DOC,Low,1.0
exponential,SD,Low,1.0
exponential,MA,High,4.0
exponential,AIS,Low,1.0
exponential,DTR,Moderate,2.0
exponential,CR,High,4.0
exponential,SR,Moderate,2.0
exponential,EII,Moderate,2.0
exponential,VR,Moderate,2.0
exponential,CFSM,Moderate,2.0
exponential,SI,Moderate,2.0
exponential,BCO,Moderate,2.0
exponential,EI,Moderate,2.0
exponential,FLI,Moderate,2.0
exponential,WLI,Moderate,2.0
exponential,CASEI,Moderate,2.0
exponential,AA,Low,1.0
exponential,SM,Low,1.0
exponential,ElseI,Low,1.0
exponential,BR,Low,1.0
exponential,AOR,Low,1.0
exponential,DIS,Low,1.0
exponential,BWO,Low,1.0
exponential,RAR,Low,1.0
exponential,CN,Low,1.0
steep,CI,Extremely High,10.0
steep,MCR,High,6.0
steep,MRV,Moderate,3.0
steep,LOR,Low,1.0
steep,VA,Extremely High,10.0
steep,ROR,Low,1.0
steep,MPM,High,6.0
steep,MOCS,Extremely High,10.0
steep,DOC,Low,1.0
steep,SD,Low,1.0
steep,MA,High,6.0
steep,AIS,Low,1.0
steep,DTR,Moderate,3.0
steep,CR,High,6.0
steep,SR,Moderate,3.0
steep,EII,Moderate,3.0
steep,VR,Moderate,3.0
steep,CFSM,Moderate,3.0
steep,SI,Moderate,3.0
steep,BCO,Moderate,3.0
steep,EI,Moderate,3.0
steep,FLI,Moderate,3.0
steep,WLI,Moderate,3.0
steep,CASEI,Moderate,3.0
steep,AA,Low,1.0
steep,SM,Low,1.0
steep,ElseI,Low,1.0
steep,BR,Low,1.0
steep,AOR,Low,1.0
steep,DIS,Low,1.0
steep,BWO,Low,1.0
steep,RAR,Low,1.0
steep,CN,Low,1.0
