language,cost_scheme,budget_fraction,strategy,covered,total,mean_selected_count,mean_selected_cost,coverage_percent
Java,exponential,0.1,cheap_first,63.0,619,7.0,7.0,10.177705977382876
Java,exponential,0.1,exact_cost_aware,122.0,619,3.0,7.0,19.709208400646204
Java,exponential,0.1,frequency,135.0,619,3.0,7.0,21.809369951534734
Java,exponential,0.1,frequency_per_cost,135.0,619,3.0,7.0,21.809369951534734
Java,exponential,0.1,random,30.235,619,4.375400000000001,7.0,4.884491114701131
Java,exponential,0.2,cheap_first,73.0,619,14.0,14.0,11.793214862681745
Java,exponential,0.2,exact_cost_aware,269.0,619,4.0,15.0,43.45718901453958
Java,exponential,0.2,frequency,269.0,619,4.0,15.0,43.45718901453958
Java,exponential,0.2,frequency_per_cost,206.0,619,8.4,15.0,33.2794830371567
Java,exponential,0.2,random,66.109,619,7.468999999999999,15.0,10.679967689822293
Java,exponential,0.3,cheap_first,138.0,619,18.0,22.0,22.294022617124394
Java,exponential,0.3,exact_cost_aware,368.0,619,9.2,23.0,59.45072697899838
Java,exponential,0.3,frequency,302.0,619,5.8,23.0,48.78836833602585
Java,exponential,0.3,frequency_per_cost,365.0,619,9.4,23.0,58.966074313408726
Java,exponential,0.3,random,105.81700000000001,619,10.7112,23.0,17.094830371567046
Java,exponential,0.4,cheap_first,157.0,619,22.0,30.0,25.363489499192244
Java,exponential,0.4,exact_cost_aware,406.0,619,13.0,31.0,65.58966074313409
Java,exponential,0.4,frequency,407.0,619,10.0,31.0,65.75121163166398
Java,exponential,0.4,frequency_per_cost,406.0,619,13.8,31.0,65.58966074313409
Java,exponential,0.4,random,154.36,619,14.1042,30.9998,24.936995153473347
Java,exponential,0.5,cheap_first,177.0,619,26.0,38.0,28.594507269789982
Java,exponential,0.5,exact_cost_aware,438.0,619,16.4,39.0,70.75928917609046
Java,exponential,0.5,frequency,433.0,619,11.4,39.0,69.95153473344104
Java,exponential,0.5,frequency_per_cost,433.0,619,15.8,39.0,69.95153473344104
Java,exponential,0.5,random,207.09700000000004,619,17.2956,38.9994,33.456704361873996
JavaScript,exponential,0.1,cheap_first,19.0,128,7.0,7.0,14.84375
JavaScript,exponential,0.1,exact_cost_aware,24.000000000000004,128,6.0,7.0,18.750000000000004
JavaScript,exponential,0.1,frequency,19.0,128,3.0,7.0,14.84375
JavaScript,exponential,0.1,frequency_per_cost,24.000000000000004,128,4.0,7.0,18.750000000000004
JavaScript,exponential,0.1,random,9.067999999999998,128,4.3548,7.0,7.084374999999998
JavaScript,exponential,0.2,cheap_first,30.0,128,14.0,14.0,23.4375
JavaScript,exponential,0.2,exact_cost_aware,44.0,128,9.2,15.0,34.375
JavaScript,exponential,0.2,frequency,37.0,128,4.0,15.0,28.90625
JavaScript,exponential,0.2,frequency_per_cost,43.0,128,9.6,15.0,33.59375
JavaScript,exponential,0.2,random,17.840999999999998,128,7.4828,15.0,13.938281249999998
JavaScript,exponential,0.3,cheap_first,43.0,128,18.0,22.0,33.59375
JavaScript,exponential,0.3,exact_cost_aware,49.0,128,10.6,23.0,38.28125
JavaScript,exponential,0.3,frequency,39.0,128,5.0,23.0,30.46875
JavaScript,exponential,0.3,frequency_per_cost,61.0,128,10.6,23.0,47.65625
JavaScript,exponential,0.3,random,28.019,128,10.7014,23.0,21.889843749999997
JavaScript,exponential,0.4,cheap_first,43.0,128,22.0,30.0,33.59375
JavaScript,exponential,0.4,exact_cost_aware,54.0,128,11.6,31.0,42.1875
JavaScript,exponential,0.4,frequency,66.0,128,9.2,31.0,51.5625
JavaScript,exponential,0.4,frequency_per_cost,63.0,128,11.6,31.0,49.21875
JavaScript,exponential,0.4,random,39.254999999999995,128,14.0756,30.9998,30.667968749999996
JavaScript,exponential,0.5,cheap_first,45.0,128,26.0,38.0,35.15625
JavaScript,exponential,0.5,exact_cost_aware,77.0,128,13.8,38.2,60.15625
JavaScript,exponential,0.5,frequency,89.0,128,10.2,39.0,69.53125
JavaScript,exponential,0.5,frequency_per_cost,83.0,128,15.8,39.0,64.84375
JavaScript,exponential,0.5,random,50.94200000000001,128,17.389400000000002,38.9994,39.798437500000006
Python,exponential,0.1,cheap_first,3.0,178,7.0,7.0,1.6853932584269662
Python,exponential,0.1,exact_cost_aware,53.0,178,3.0,7.0,29.775280898876403
Python,exponential,0.1,frequency,53.0,178,3.0,7.0,29.775280898876403
Python,exponential,0.1,frequency_per_cost,53.0,178,3.0,7.0,29.775280898876403
Python,exponential,0.1,random,8.603,178,4.3924,7.0,4.83314606741573
Python,exponential,0.2,cheap_first,4.0,178,14.0,14.0,2.247191011235955
Python,exponential,0.2,exact_cost_aware,76.0,178,4.8,15.0,42.69662921348315
Python,exponential,0.2,frequency,85.0,178,4.0,15.0,47.752808988764045
Python,exponential,0.2,frequency_per_cost,78.0,178,8.0,15.0,43.82022471910113
Python,exponential,0.2,random,20.205000000000002,178,7.4754000000000005,15.0,11.35112359550562
Python,exponential,0.3,cheap_first,35.0,178,18.0,22.0,19.662921348314608
Python,exponential,0.3,exact_cost_aware,122.0,178,9.0,23.0,68.53932584269663
Python,exponential,0.3,frequency,109.0,178,5.0,23.0,61.235955056179776
Python,exponential,0.3,frequency_per_cost,123.0,178,9.0,23.0,69.10112359550561
Python,exponential,0.3,random,34.382,178,10.767199999999999,23.0,19.31573033707865
Python,exponential,0.4,cheap_first,43.0,178,22.0,30.0,24.15730337078652
Python,exponential,0.4,exact_cost_aware,151.0,178,10.0,31.0,84.8314606741573
Python,exponential,0.4,frequency,138.0,178,8.8,31.0,77.52808988764045
Python,exponential,0.4,frequency_per_cost,151.0,178,10.0,31.0,84.8314606741573
Python,exponential,0.4,random,49.197,178,14.0898,31.0,27.638764044943823
Python,exponential,0.5,cheap_first,43.0,178,26.0,38.0,24.15730337078652
Python,exponential,0.5,exact_cost_aware,159.0,178,14.4,38.8,89.32584269662921
Python,exponential,0.5,frequency,164.0,178,13.0,39.0,92.13483146067416
Python,exponential,0.5,frequency_per_cost,161.0,178,13.8,39.0,90.4494382022472
Python,exponential,0.5,random,67.214,178,17.308600000000002,38.999,37.76067415730337
