language,fold,cost_scheme,budget_fraction,budget,strategy,selected_count,selected_cost,selected_operators
Java,1,linear,0.1,6.2,frequency,2.0,6.0,CI;MRV
Java,1,linear,0.1,6.2,frequency_per_cost,3.0,6.0,LOR;MCR;MRV
Java,1,linear,0.1,6.2,cheap_first,6.0,6.0,LOR;ROR;DOC;SD;AIS;AOR
Java,1,linear,0.1,6.2,exact_cost_aware,3.0,6.0,LOR;MCR;MRV
Java,1,linear,0.1,6.2,random,3.656,6.0,Mean of 1000 random portfolios
Java,1,linear,0.2,12.4,frequency,6.0,12.0,CI;MCR;MRV;LOR;ROR;DOC
Java,1,linear,0.2,12.4,frequency_per_cost,6.0,12.0,LOR;MCR;MRV;CI;ROR;DOC
Java,1,linear,0.2,12.4,cheap_first,12.0,12.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR
Java,1,linear,0.2,12.4,exact_cost_aware,6.0,12.0,LOR;MCR;MRV;CI;ROR;DOC
Java,1,linear,0.2,12.4,random,6.854,12.0,Mean of 1000 random portfolios
Java,1,linear,0.3,18.6,frequency,7.0,18.0,CI;MCR;MRV;LOR;VA;ROR;MPM
Java,1,linear,0.3,18.6,frequency_per_cost,9.0,18.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;VA
Java,1,linear,0.3,18.6,cheap_first,16.0,18.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR;DIS;ElseI;MRV;VR
Java,1,linear,0.3,18.6,exact_cost_aware,10.0,18.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;BR
Java,1,linear,0.3,18.6,random,10.053,18.0,Mean of 1000 random portfolios
Java,1,linear,0.4,24.8,frequency,10.0,24.0,CI;MCR;MRV;LOR;VA;ROR;MPM;MOCS;DOC;SD
Java,1,linear,0.4,24.8,frequency_per_cost,12.0,24.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;VA;MPM;VR;AOR
Java,1,linear,0.4,24.8,cheap_first,19.0,24.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR;DIS;ElseI;MRV;VR;DTR;SR;CFSM
Java,1,linear,0.4,24.8,exact_cost_aware,12.0,24.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;VA;MPM;DTR;BR
Java,1,linear,0.4,24.8,random,13.118,24.0,Mean of 1000 random portfolios
