language,project,bug_id,raw_mapping,operator_set,unresolved,is_no_operator,strict_eligible,operators,unresolved_labels,mapping_id
Java,cli,Cli2,"CR[6],CFSM[27]","frozenset({'CR', 'CFSM'})",(),False,True,CFSM;CR,,Java::cli::Cli2
Java,cli,Cli3,"MCR[2],CI[36]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::cli::Cli3
Java,cli,Cli4,SM[30],frozenset({'SM'}),(),False,True,SM,,Java::cli::Cli4
Java,cli,cli5,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::cli::cli5
Java,cli,Cli7,DTR[5],frozenset({'DTR'}),(),False,True,DTR,,Java::cli::Cli7
Java,cli,Cli8,CR[6],frozenset({'CR'}),(),False,True,CR,,Java::cli::Cli8
Java,cli,Cli9,SI[77],frozenset({'SI'}),(),False,True,SI,,Java::cli::Cli9
Java,cli,Cli10,"RAR[8],MCR[2]","frozenset({'MCR', 'RAR'})",(),False,True,MCR;RAR,,Java::cli::Cli10
Java,cli,Cli11,"AOR[9],ROR[70],SD[28],SI[77]","frozenset({'ROR', 'AOR', 'SD', 'SI'})",(),False,True,AOR;ROR;SD;SI,,Java::cli::Cli11
Java,cli,Cli12,"ROR[70],CR[6],EII[?]","frozenset({'ROR', 'EII', 'CR'})",(),False,True,CR;EII;ROR,,Java::cli::Cli12
Java,cli,Cli14,"DOC[16],CFSM[27],CI[36]","frozenset({'DOC', 'CI', 'CFSM'})",(),False,True,CFSM;CI;DOC,,Java::cli::Cli14
Java,cli,Cli15,"BCO[17],FLI[205],MCR[2]","frozenset({'MCR', 'FLI', 'BCO'})",(),False,True,BCO;FLI;MCR,,Java::cli::Cli15
Java,cli,Cli17,CFSM[27],frozenset({'CFSM'}),(),False,True,CFSM,,Java::cli::Cli17
Java,cli,Cli18,"MCR[2],DOM[?]","frozenset({'MA', 'MCR'})",(),False,True,MA;MCR,,Java::cli::Cli18
Java,cli,Cli19,"MOCS[20],VA[200],VR[26],ROR[70]","frozenset({'MOCS', 'VA', 'VR', 'ROR'})",(),False,True,MOCS;ROR;VA;VR,,Java::cli::Cli19
Java,cli,Cli20,"MCR[2],MOCS[20],CI[36]","frozenset({'MOCS', 'MCR', 'CI'})",(),False,True,CI;MCR;MOCS,,Java::cli::Cli20
Java,cli,Cli23,"SD[28],CI[36],MCR[2]","frozenset({'MCR', 'SD', 'CI'})",(),False,True,CI;MCR;SD,,Java::cli::Cli23
Java,cli,Cli24,VA[200],frozenset({'VA'}),(),False,True,VA,,Java::cli::Cli24
Java,cli,Cli25,VA[200],frozenset({'VA'}),(),False,True,VA,,Java::cli::Cli25
Java,cli,Cli26,"VR[26],EI[38],MCR[2]","frozenset({'MCR', 'VR', 'EI'})",(),False,True,EI;MCR;VR,,Java::cli::Cli26
Java,cli,Cli27,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::cli::Cli27
Java,cli,Cli28,CFSM[27],frozenset({'CFSM'}),(),False,True,CFSM,,Java::cli::Cli28
