language,fold,method,k,covered,total,coverage_percent
Java,1,Frequency source-level portfolio,1,52.0,446,11.659192825112108
Java,1,Composition-aware source-level portfolio,1,35.0,446,7.8475336322869955
Java,1,Random source-level portfolio,1,6.965,446,1.561659192825112
Java,1,Frequency source-level portfolio,3,159.0,446,35.65022421524664
Java,1,Composition-aware source-level portfolio,3,159.0,446,35.65022421524664
Java,1,Random source-level portfolio,3,22.907,446,5.13609865470852
Java,1,Frequency source-level portfolio,5,215.0,446,48.20627802690583
Java,1,Composition-aware source-level portfolio,5,215.0,446,48.20627802690583
Java,1,Random source-level portfolio,5,40.235,446,9.021300448430493
Java,1,Frequency source-level portfolio,10,289.0,446,64.79820627802691
Java,1,Composition-aware source-level portfolio,10,252.0,446,56.502242152466366
Java,1,Random source-level portfolio,10,87.335,446,19.581838565022423
Java,2,Frequency source-level portfolio,1,1.0,47,2.127659574468085
Java,2,Composition-aware source-level portfolio,1,1.0,47,2.127659574468085
Java,2,Random source-level portfolio,1,0.576,47,1.2255319148936168
Java,2,Frequency source-level portfolio,3,11.0,47,23.404255319148938
Java,2,Composition-aware source-level portfolio,3,11.0,47,23.404255319148938
Java,2,Random source-level portfolio,3,1.916,47,4.0765957446808505
Java,2,Frequency source-level portfolio,5,18.0,47,38.297872340425535
Java,2,Composition-aware source-level portfolio,5,20.0,47,42.5531914893617
Java,2,Random source-level portfolio,5,3.603,47,7.665957446808511
Java,2,Frequency source-level portfolio,10,27.0,47,57.4468085106383
Java,2,Composition-aware source-level portfolio,10,27.0,47,57.4468085106383
Java,2,Random source-level portfolio,10,8.071,47,17.172340425531914
Java,3,Frequency source-level portfolio,1,2.0,46,4.3478260869565215
Java,3,Composition-aware source-level portfolio,1,2.0,46,4.3478260869565215
Java,3,Random source-level portfolio,1,0.561,46,1.2195652173913045
Java,3,Frequency source-level portfolio,3,10.0,46,21.73913043478261
Java,3,Composition-aware source-level portfolio,3,10.0,46,21.73913043478261
Java,3,Random source-level portfolio,3,1.673,46,3.6369565217391306
Java,3,Frequency source-level portfolio,5,15.0,46,32.608695652173914
Java,3,Composition-aware source-level portfolio,5,13.0,46,28.26086956521739
Java,3,Random source-level portfolio,5,2.999,46,6.519565217391305
Java,3,Frequency source-level portfolio,10,18.0,46,39.130434782608695
Java,3,Composition-aware source-level portfolio,10,18.0,46,39.130434782608695
Java,3,Random source-level portfolio,10,7.284,46,15.834782608695651
Java,4,Frequency source-level portfolio,1,3.0,40,7.5
Java,4,Composition-aware source-level portfolio,1,3.0,40,7.5
Java,4,Random source-level portfolio,1,0.832,40,2.08
Java,4,Frequency source-level portfolio,3,16.0,40,40.0
Java,4,Composition-aware source-level portfolio,3,16.0,40,40.0
Java,4,Random source-level portfolio,3,2.446,40,6.115
Java,4,Frequency source-level portfolio,5,18.0,40,45.0
Java,4,Composition-aware source-level portfolio,5,19.0,40,47.5
Java,4,Random source-level portfolio,5,4.204,40,10.51
Java,4,Frequency source-level portfolio,10,25.0,40,62.5
Java,4,Composition-aware source-level portfolio,10,26.0,40,65.0
Java,4,Random source-level portfolio,10,9.073,40,22.6825
Java,5,Frequency source-level portfolio,1,6.0,40,15.0
Java,5,Composition-aware source-level portfolio,1,6.0,40,15.0
