language,method,k,covered,total,coverage_percent
Java,Composition-aware source-level portfolio,1,47.0,619,7.592891760904685
Java,Composition-aware source-level portfolio,3,215.0,619,34.733441033925686
Java,Composition-aware source-level portfolio,5,290.0,619,46.849757673667206
Java,Composition-aware source-level portfolio,10,357.0,619,57.67366720516963
Java,Frequency source-level portfolio,1,64.0,619,10.339256865912763
Java,Frequency source-level portfolio,3,215.0,619,34.733441033925686
Java,Frequency source-level portfolio,5,290.0,619,46.849757673667206
Java,Frequency source-level portfolio,10,390.0,619,63.004846526655896
Java,Random source-level portfolio,1,9.823,619,1.5869143780290793
Java,Random source-level portfolio,3,31.598,619,5.104684975767366
Java,Random source-level portfolio,5,55.372,619,8.945395799676898
Java,Random source-level portfolio,10,121.21,619,19.581583198707595
JavaScript,Composition-aware source-level portfolio,1,5.0,128,3.90625
JavaScript,Composition-aware source-level portfolio,3,24.0,128,18.75
JavaScript,Composition-aware source-level portfolio,5,45.0,128,35.15625
JavaScript,Composition-aware source-level portfolio,10,79.0,128,61.71875
JavaScript,Frequency source-level portfolio,1,5.0,128,3.90625
JavaScript,Frequency source-level portfolio,3,27.0,128,21.09375
JavaScript,Frequency source-level portfolio,5,44.0,128,34.375
JavaScript,Frequency source-level portfolio,10,74.0,128,57.8125
JavaScript,Random source-level portfolio,1,4.596,128,3.590625
JavaScript,Random source-level portfolio,3,13.957,128,10.90390625
JavaScript,Random source-level portfolio,5,24.893,128,19.44765625
JavaScript,Random source-level portfolio,10,57.28,128,44.75
Python,Composition-aware source-level portfolio,1,32.0,187,17.112299465240643
Python,Composition-aware source-level portfolio,3,73.0,187,39.037433155080215
Python,Composition-aware source-level portfolio,5,127.0,187,67.9144385026738
Python,Composition-aware source-level portfolio,10,156.0,187,83.42245989304813
Python,Frequency source-level portfolio,1,32.0,187,17.112299465240643
Python,Frequency source-level portfolio,3,73.0,187,39.037433155080215
Python,Frequency source-level portfolio,5,127.0,187,67.9144385026738
Python,Frequency source-level portfolio,10,153.0,187,81.81818181818181
Python,Random source-level portfolio,1,5.07,187,2.7112299465240643
Python,Random source-level portfolio,3,15.751000000000001,187,8.422994652406418
Python,Random source-level portfolio,5,28.599,187,15.293582887700536
Python,Random source-level portfolio,10,67.048,187,35.85454545454546
