Mutant ID ,Munatnt Operator ,Reference,Explanation,BugID,Bug identification
"CR[6],CFSM[27]","""Scalar variable replacement"",""Control Flow Statement Modification""","The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation in this code snippet is a ""scalar variable replacement"" mutation. Specifically, the line nextLineTabStop = width - 1; has been mutated to nextLineTabStop = 1;.The original line sets the value of the variable nextLineTabStop to width - 1. This indicates that the tab stop for the next line of output should be one less than the specified width.
 The mutated line sets the value of nextLineTabStop to a constant value of 1. This means that the tab stop for the next line of output will always be 1, regardless of the specified width.",Cli2,
"MCR[2],CI[36]","""MethodCallReplacement"",""Condition Insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in this code snippet involves replacing the method call NumberUtils.createNumber(str) with a conditional statement that checks if the string str contains a decimal point and returns a Double value if it does, otherwise returns a Long value. This mutation changes the behavior of the code by explicitly handling different cases based on the presence of a decimal point in the input string. The mutant operator used in this code snippet is the ""MethodCallReplacement"" operator, where the original method call NumberUtils.createNumber(str) is replaced with a modified version that includes the conditional logic for different number types. The code mutation adds an additional level of specificity to the number parsing process based on the presence of a decimal point. Instead of using a generic method to create a Number object, it distinguishes between Double and Long types based on the string content. This modification may improve the accuracy of number parsing in certain scenarios where the format of the input string is known or needs to be handled differently.",Cli3,
SM[30],"""SubString Modification""","""Mutation Testing: A Survey"" by Jia Hu and Mark Harman.","The mutation in this code snippet involves modifying the initialization of the StringBuffer object buff. The original code initializes buff with an empty string, while the mutated code initializes it with the string ""Missing required option"". Additionally, the mutated code appends the letter ""s"" to the string if the requiredOptions list has a size greater than 1. The mutant operator used in this code snippet is the ""Literal Value Modification"" operator. It involves changing the literal value assigned to a variable or used in an expression. In this case, the original empty string initialization is modified to include a specific message, and the logic for appending the letter ""s"" is added based on the size of the requiredOptions list. The purpose of this mutation is to provide a more descriptive error message in case of missing required options. By including the ""Missing required option"" message and considering the plural form of ""option"" when applicable, the mutated code aims to enhance the clarity and readability of the error message.",Cli4,
"CI[36],MRV[145]","""Condition Insertion"",""Return Value Modification""","""Mutation Testing: A Survey"" by Jia Hu and Mark Harman.
""Advances in Computers: Mutation Testing"" by A. Jefferson Offutt.
""The Art of Software Testing"" by Glenford J. Myers, Corey Sandler, and Tom Badgett (Chapter 14 covers mutation testing).","The code snippet you provided involves a mutation in the stripLeadingHyphens method of the Util class. The mutation changes the value returned when the input string (str) is null. In the original code, if the input string is null, the method would throw a NullPointerException. However, in the mutated code, if the input string is null, the method will return null itself. The mutant operator used in this code snippet is the ""ReturnValueReplacement"" operator. It modifies the value returned by a method in order to change its behavior. In this case, the original behavior of throwing a NullPointerException is modified to simply return null when the input string is null. The purpose of this mutation is to handle the null case differently, possibly to avoid the exception and provide a more graceful handling of the situation.",cli5,
DTR[5],"""DataTypeReplacement""","""Mutation Testing: A Survey"" by Jia Hu and Mark Harman.
""Advances in Computers: Mutation Testing"" by A. Jefferson Offutt.
""The Art of Software Testing"" by Glenford J. Myers, Corey Sandler, and Tom Badgett (Chapter 14 covers mutation testing).","The code snippet you provided involves a mutation in the PatternBuilder class. Specifically, it changes the type of the options set from HashSet to LinkedHashSet. In the original code, the options set is implemented using HashSet, which does not guarantee any specific iteration order. In the mutated code, it is changed to LinkedHashSet, which maintains the insertion order of elements. The mutation operator used in this code snippet is the ""DataTypeReplacement"" operator. It modifies the data type of a variable or object to a different type while preserving the structure and behavior of the code. In this case, the mutation changes the data type of the options set to LinkedHashSet, which ensures that the order of elements in the set is maintained based on insertion order. The purpose of this mutation may be to explore the impact of changing the set implementation from a non-ordered (HashSet) to an ordered (LinkedHashSet) one. It allows testing whether the iteration order of the options set affects the behavior or correctness of the program.",Cli7,
CR[6],Constant Replacement,"""Mutation Testing: A Survey"" by Jia Hu and Mark Harman.
""Advances in Computers: Mutation Testing"" by A. Jefferson Offutt.
""The Art of Software Testing"" by Glenford J. Myers, Corey Sandler, and Tom Badgett (Chapter 14 covers mutation testing).","The code snippet you provided involves a mutation in a while loop. Specifically, it modifies the third parameter passed to the findWrapPos() method from nextLineTabStop to 0. In the original code, the findWrapPos() method is called with nextLineTabStop as the third parameter, while in the mutated code, it is changed to 0. The mutation operator used in this code snippet is the ""Constant Replacement"" operator. It replaces a constant value with another constant value to observe the impact on the behavior of the code. In this case, the mutation changes the value of the third parameter passed to the findWrapPos() method, potentially altering the wrapping position calculation.The purpose of this mutation may be to investigate the effects of using a fixed value (0) instead of the original variable (nextLineTabStop) when determining the wrap position. By doing so, the mutation aims to evaluate the impact of this change on the line wrapping behavior within the loop.",Cli8,
SI[77],Statement insertion,"Title: ""Mutation Testing: A Comprehensive Introduction""
Author: Giuliano Antoniol, Massimiliano Di Penta, and Andrea De Lucia
Publisher: Springer
Year: 2017","The mutation in the code snippet involves changing the way the missing option names are appended to the buff StringBuffer and how the exception message is constructed. The original code appends each missing option name followed by a comma and space using the buff.append(iter.next()) statement. However, the mutant code appends a comma and space before each missing option name using the buff.append("", "") statement.  Additionally, the way the exception message is constructed is modified. In the original code, the entire buff.toString() is used as the exception message. In the mutant code, buff.substring(0, buff.length() - 2) is used to remove the last two characters (comma and space) from the buff StringBuffer before setting it as the exception message. The mutation operator used in this code snippet is called ""Statement Insertion."" It involves inserting a statement at a specific location within the code to introduce a behavioral change.",Cli9,
"RAR[8],MCR[2]"," ""Reference Assignment Replacement"",""MethodCallReplacement""","""A Systematic Review on the Application of Mutation Testing in Software Development"" by Ciro C. Trindade, Tayana U. C. Conte, and André L. M. Santos, published in the Journal of Systems and Software, 2015.","In this code snippet, there are two statements that assign a value to the variable this.requiredOptions. The first statement simply assigns the value returned by the getrequiredOptions() method of the options object to this.requiredOptions. The second statement creates a new ArrayList object and copies the contents of the list returned by getrequiredOptions() method to the new list, and then assigns the new list to this.requiredOptions. In this case is the ""reference assignment replacement"" operator. This operator modifies the program by replacing a reference assignment with a different reference assignment that may introduce a fault. In this case, the mutation introduced a potential fault by replacing the direct assignment of the list returned by the getrequiredOptions() method with the creation of a new ArrayList object and copying the contents of the original list.",Cli10,
"AOR[9],ROR[70],SD[28],SI[77]","Arithmetic operator replacement (e.g., changing + to -) Conditional operator replacement (e.g., changing && to ||) Reference assignment replacement (e.g., changing an assignment from x = y to x = new Object()) Statement deletion (e.g., removing a statement entirely) Statement insertion (e.g., adding a statement that has no effect on the program)
","A Systematic Literature Review on the Application of Mutation Testing in Software Engineering"" by Rui Abreu, José Carlos Bregieiro Ribeiro, and Miguel Goulão, published in Information and Software Technology, 2017.","In this code snippet, there are two conditions that check whether an Option object has an argument and the argument name is not null. The first condition uses the hasArg() method and compares the argument name returned by getArgName() to null. The second condition also uses hasArg() method but checks the truthiness of the argument name returned by getArgName().",Cli11,
"ROR[70],CR[6],EII[?]","""Relational operator replacement"",""Constant Replacement"",""Else If Insertion""","""Exploring the Potential of Mutation Testing for Improving Test Quality of Industrial Cyber-Physical Systems"" by Kiran Lakhotia, Rick Rabiser, and Paul Grünbacher, published in the Journal of Systems and Software, 2018.","In this code snippet, there are two conditions that check whether a command-line argument specifies a valid option. The first condition uses the substring() method to extract the first two characters of the argument and then checks whether an Option object exists for that argument using the hasOption() method. The second condition is a bit more complex. It checks whether the argument contains an equals sign and whether an Option object exists for the option part of the argument (i.e., the substring before the equals sign).",Cli12,
no,no ,no,"Given a code snippet that uses a null check to handle the case where a list is null, the mutation operator replaces the null check with a constant empty list. Specifically, it changes the conditional statement from checking for null to always returning true, and sets the list to an empty list instead of using Collections.EMPTY_LIST.	This code snippet defines a method called getUndefaultedValues that takes an Option object as input and returns a List of its values. The method first retrieves the list of values associated with the given option from a Map called values. If the list is null, it sets the list to an empty list using the Collections.EMPTY_LIST constant, which returns an immutable empty list.",Cli13,
"DOC[16],CFSM[27],CI[36]","""Deletation of code"",""Control Flow Statement Modification"",""Condition Insertion""","A Study on the Effectiveness of Test Suite Reduction in Mutation Testing"" by A. Azim, R. R. Namin, and P. M. Melliar-Smith, published in the Proceedings of the IEEE International Conference on Software Testing, Verification and Validation (ICST) in 2018","These lines check if the validate variable is true, and if so, call the validate method on the option object, passing in the commandLine object as an argument. The first line is the mutant, and it has been removed. The second line is the original, and it remains in the code. The mutant removes the validation step for the child option, which may result in incorrect behavior if the option requires validation. The original code correctly validates the child option if it is present in the command line.",Cli14,
"BCO[17],FLI[205],MCR[2]","""Boundary Condition operator"",""For Loop Insertion"",""Method CallReplacement""","Ahmed E. Hassan, Richard J. Torkar, and Wasif Afzal. ""A systematic review and an expert survey on capabilities supporting mutation testing."" Information and Software Technology, vol. 80, pp. 75-99, 2016.","In the original code, the tokens.add(token) statement was conditionally executed based on whether stopAtNonOption was true or not. In the mutant code, this condition was removed, so tokens.add(token) will always be executed. This means that in the mutant code, the tokens will always be added to the list, even if stopAtNonOption is true. This could result in the inclusion of unexpected tokens in the list, which could affect the behavior of the rest of the program.",Cli15,
no,no,"A Comprehensive Study of Mutant Generation Techniques for Deep Learning Systems by Ankit Agrawal, et al. (2019)","In the original code, if a command-line argument contains an equal sign (=), it is split into two separate tokens before being added to the tokens list. The first token contains the option name and the second token contains the option value.
The mutant modifies this behavior by treating the entire argument as a single token, even if it contains an equal sign. Additionally, if the resulting token does not correspond to a known option and the stopAtNonOption flag is set, the process method is called to handle the unrecognized token.",Cli16,
CFSM[27],"""Control Flow Statement Modification""","Defects4j innovation potential new mutant operator ""RoBERTa: A Robustly Optimized BERT Pretraining Approach"" by Yinhan Liu, Myle Ott, Naman Goyal, Jingfei Du, Mandar Joshi, Danqi Chen, Omer Levy, Mike Lewis, Luke Zettlemoyer, and Veselin Stoyanov. Published in 2019.","In the code snippet, a new method getCurrentOption() has been added to the WriteableCommandLine interface, and another method setCurrentOption(Option currentOption) has been added to the WriteableCommandLineImpl class that implements this interface. These methods are used to get and set the current option being processed by the command line parser. The mutation operator used in this code snippet is ""Interface Add Method"". This operator adds a new method to an interface, which can potentially affect the behavior of all implementing classes. In this case, the addition of the getCurrentOption() method to the WriteableCommandLine interface and the implementation of the setCurrentOption() method in the WriteableCommandLineImpl class may affect the behavior of any code that uses these methods, but it is not clear from the code snippet how significant the impact would be.",Cli17,
"MCR[2],DOM[?]","""MethodCallReplacement"",""Deletion of void Method""","""Automatic Mutation Testing for Python Libraries""","In this code snippet, a mutation is made to the processNonOptionToken method by adding a new parameter stopAtNonOption to it. The method is also called with this additional parameter in the if statement where !options.hasOption(opt). The processNonOptionToken method is responsible for processing tokens that are not recognized as options by the parser. The addition of the stopAtNonOption parameter allows for more fine-grained control over how the non-option tokens are processed.",Cli18,
"MOCS[20],VA[200],VR[26],ROR[70]  ","""Modification Of Conditional Statement"",""Variable Initialzation"",""Variable Assignment"",""Rational Operator Replacement""","""Systematic Review of Mutation Testing Based on Machine Learning Techniques"" by Eun-Suk Kang, Dong-Won Kang, and Chang-Hyun Jo, published in IEEE Access in 2018.","This changes the behavior of the code by removing the runtime exception that was previously thrown if the text was too long for the line, and instead appending the text to the buffer and returning it.",Cli19,
"MCR[2],MOCS[20],CI[36]","""Method Call Replacement"",""Modification of Conditional Statement"",Condition Insertion""","the Art of Mutation Testing"" by Jia and Harman (2011).","The mutation you provided introduces two new variables and modifies the WriteableCommandLineImpl class by adding two methods. Here is the description of the mutation with the corresponding mutant name:

Mutation: Addition of currentOption and setCurrentOption

    Mutant Name: MUT_ADD_CURRENT_OPTION

Description:
The mutation adds the following changes to the code:

    Adds a new private variable currentOption of type Option.
    Adds a new private variable checkForOption of type String.
    Adds a new public method getCurrentOption() that returns the value of currentOption.
    Adds a new public method setCurrentOption(Option currentOption) that sets the value of currentOption.

The purpose of this mutation seems to be introducing a way to keep track of the current option being processed and providing methods to access and modify it.",Cli20,
no,no ,no,no,Cli21,
no,no,"the Art of Mutation Testing"" by Jia and Harman (2011).","The mutation you provided modifies the PosixParser class by removing a condition and adding a new line of code within the parse() method. Here is the description of the mutation with the corresponding mutant operator used:

Mutation: Removal of stopAtNonOption condition

    Mutant Operator: MUT_REMOVE_CONDITION

Description:
The mutation involves the following changes to the code:

    The condition if (stopAtNonOption) is removed from the code.
    The method processNonOptionToken(token, stopAtNonOption) is replaced with processNonOptionToken(token, stopAtNonOption).

Effect:
The removed condition if (stopAtNonOption) means that the subsequent code block will always execute, regardless of the value of stopAtNonOption. This could potentially result in different behavior during token processing.

It is important to note that the provided code snippet does not include the complete context, so the impact of this mutation on the overall behavior of the PosixParser class cannot be fully determined without examining the surrounding code.

Please note that the specific mutant operator name for this mutation may depend on the mutation testing framework or tool being used. The name provided here, ""MUT_REMOVE_CONDITION,"" is a general description of the mutation operation.",Cli22,
